"Time","Subsystem #1|CTLs|Vars|PrefPV","Subsystem #1|CTLs|Vars|VDCerr"
0.01245,0.386793916,0.1381490656
0.0125,0.3894294988,0.1433498565
0.01255,0.3920849734,0.1485878212
0.0126,0.3947594025,0.1538610673
0.01265,0.3974518937,0.1591677925
0.0127,0.4001615968,0.1645062801
0.01275,0.4028877017,0.1698748947
0.0128,0.405629437,0.1752720784
0.01285,0.4083860673,0.180696347
0.0129,0.4111568921,0.186146286
0.01295,0.4139412439,0.1916205478
0.013,0.4167384862,0.1971178479
0.01305,0.4195480127,0.2026369621
0.0131,0.4223692451,0.2081767236
0.01315,0.4252016322,0.2137360196
0.0132,0.4280446484,0.2193137895
0.01325,0.4308977924,0.2249090218
0.0133,0.4337605861,0.2305207518
0.01335,0.4366325734,0.2361480592
0.0134,0.4395133192,0.2417900663
0.01345,0.4424024083,0.2474459353
0.0135,0.4452994443,0.2531148671
0.01355,0.4482040489,0.2587960986
0.0136,0.451115861,0.2644889016
0.01365,0.4540345357,0.2701925805
0.0137,0.4569597434,0.2759064713
0.01375,0.4598911696,0.2816299394
0.0138,0.4628285133,0.2873623788
0.01385,0.4657714871,0.2931032101
0.0139,0.4687198162,0.2988518796
0.01395,0.4716732378,0.3046078577
0.014,0.4746315003,0.3103706382
0.01405,0.4775943633,0.3161397364
0.0141,0.4805615963,0.3219146889
0.01415,0.4835329789,0.3276950518
0.0142,0.4865083,0.3334804001
0.01425,0.4894873571,0.3392703266
0.0143,0.4924699563,0.3450644413
0.01435,0.4954559117,0.3508623703
0.0144,0.4984450447,0.3566637548
0.01445,0.5014371842,0.3624682508
0.0145,0.5044321658,0.368275528
0.01455,0.5074298316,0.3740852695
0.0146,0.5104300299,0.3798971705
0.01465,0.5134326149,0.3857109384
0.0147,0.5164374461,0.3915262916
0.01475,0.5194443887,0.3973429594
0.0148,0.5224533124,0.4031606809
0.01485,0.5254640921,0.4089792053
0.0149,0.5284766069,0.4147982906
0.01495,0.5314907404,0.4206177035
0.015,0.53450638,0.4264372191
0.01505,0.5375234173,0.4322566201
0.0151,0.5405417471,0.4380756968
0.01515,0.5435612681,0.4438942463
0.0152,0.546581882,0.4497120725
0.01525,0.5496034938,0.4555289857
0.0153,0.5526260111,0.461344802
0.01535,0.5556493448,0.4671593433
0.0154,0.558673408,0.4729724368
0.01545,0.5616981166,0.4787839148
0.0155,0.5647233887,0.4845936146
0.01555,0.5677491447,0.4904013778
0.0156,0.5707753071,0.4962070506
0.01565,0.5738018006,0.5020104832
0.0157,0.5768285515,0.5078115295
0.01575,0.5798554882,0.5136100475
0.0158,0.5828825405,0.5194058982
0.01585,0.5859096402,0.5251989463
0.0159,0.5889367202,0.5309890593
0.01595,0.5919637152,0.536776108
0.016,0.594990561,0.5425599656
0.01605,0.5980171948,0.5483405082
0.0161,0.6010435551,0.5541176143
0.01615,0.6040695815,0.5598911648
0.0162,0.6070952145,0.5656610428
0.01625,0.6101203959,0.5714271335
0.0163,0.6131450683,0.5771893242
0.01635,0.6161691752,0.5829475038
0.0164,0.6191926611,0.5887015632
0.01645,0.6222154711,0.594451395
0.0165,0.6252375512,0.6001968932
0.01655,0.6282588482,0.6059379534
0.0166,0.6312793094,0.6116744727
0.01665,0.6342988828,0.6174063493
0.0167,0.637317517,0.6231334828
0.01675,0.6403351612,0.6288557739
0.0168,0.6433517651,0.6345731246
