0 [1.00e+00, 1.00e+00]
71000 [1.47e+00, -9.87e-01]
71200 [1.47e+00, -9.89e-01]
71400 [1.47e+00, -9.91e-01]
71600 [1.47e+00, -9.93e-01]
71800 [1.47e+00, -9.95e-01]
72000 [1.47e+00, -9.96e-01]
72200 [1.47e+00, -9.96e-01]
72400 [1.47e+00, -9.97e-01]
72600 [1.48e+00, -9.96e-01]
72800 [1.48e+00, -9.98e-01]
73000 [1.48e+00, -9.99e-01]
73200 [1.48e+00, -1.00e+00]
73400 [1.48e+00, -1.00e+00]
73600 [1.48e+00, -1.00e+00]
73800 [1.48e+00, -1.00e+00]
74000 [1.48e+00, -1.00e+00]
74200 [1.48e+00, -1.00e+00]
74400 [1.48e+00, -1.01e+00]
74600 [1.48e+00, -1.01e+00]
74800 [1.48e+00, -1.01e+00]
75000 [1.48e+00, -1.01e+00]
75200 [1.48e+00, -1.01e+00]
75400 [1.48e+00, -1.01e+00]
75600 [1.49e+00, -1.01e+00]
75800 [1.49e+00, -1.01e+00]
76000 [1.49e+00, -1.01e+00]
76200 [1.49e+00, -1.02e+00]
76400 [1.49e+00, -1.02e+00]
76600 [1.49e+00, -1.02e+00]
76800 [1.49e+00, -1.02e+00]
77000 [1.49e+00, -1.02e+00]
77200 [1.49e+00, -1.02e+00]
77400 [1.49e+00, -1.02e+00]
77600 [1.49e+00, -1.02e+00]
77800 [1.49e+00, -1.02e+00]
78000 [1.49e+00, -1.02e+00]
78200 [1.49e+00, -1.03e+00]
78400 [1.49e+00, -1.03e+00]
78600 [1.48e+00, -9.58e-01]
78800 [1.48e+00, -9.58e-01]
79000 [1.48e+00, -9.59e-01]
79200 [1.48e+00, -9.60e-01]
79400 [1.48e+00, -9.62e-01]
79600 [1.48e+00, -9.64e-01]
79800 [1.49e+00, -9.66e-01]
80000 [1.49e+00, -9.68e-01]
80200 [1.49e+00, -9.70e-01]
80400 [1.49e+00, -9.72e-01]
80600 [1.49e+00, -9.74e-01]
80800 [1.49e+00, -9.77e-01]
81000 [1.49e+00, -9.79e-01]
81200 [1.49e+00, -9.81e-01]
81400 [1.49e+00, -9.83e-01]
81600 [1.49e+00, -9.85e-01]
81800 [1.49e+00, -9.87e-01]
82000 [1.49e+00, -9.89e-01]
82200 [1.49e+00, -9.91e-01]
82400 [1.49e+00, -9.93e-01]
82600 [1.49e+00, -9.95e-01]
82800 [1.49e+00, -9.97e-01]
83000 [1.49e+00, -9.99e-01]
83200 [1.49e+00, -1.00e+00]
83400 [1.49e+00, -1.00e+00]
83600 [1.49e+00, -1.00e+00]
83800 [1.49e+00, -1.00e+00]
84000 [1.49e+00, -1.01e+00]
84200 [1.49e+00, -1.01e+00]
84400 [1.49e+00, -1.01e+00]
84600 [1.49e+00, -1.01e+00]
