"Time","Subsystem #1|CTLs|Vars|P_POI1","Subsystem #1|CTLs|Vars|Ptot_Area1","Subsystem #1|CTLs|Vars|Q_POI1","Subsystem #1|CTLs|Vars|Qtot_Area1","Subsystem #1|Machines|DG|P_DG","Subsystem #1|Machines|DG|Q_DG","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1"
0.5312,0.9294893234,3.67495246,0.8883009612,1.779764067,2.997203477,1.173175678,0.1254611552,0.03861954751
0.5376,0.9383512431,3.677250043,0.8850733797,1.781503737,2.997490311,1.173110268,0.1256801641,0.03864864965
0.544,0.9370856236,3.680009864,0.8877301006,1.782919516,2.99799345,1.172743049,0.1257019111,0.03868352612
0.5504,0.9277012082,3.678461728,0.8917745219,1.781530126,2.997825706,1.172718553,0.1254881971,0.03866449387
0.5568,0.9270086282,3.6751817,0.8898173395,1.779735631,2.997276521,1.173088218,0.1254154859,0.03862206584
0.5632,0.9361598847,3.67619278,0.8855282141,1.780814306,2.997330633,1.17318768,0.1256175982,0.03863559689
0.5696,0.9389058311,3.679477641,0.8863485095,1.782733396,2.997880109,1.172848962,0.1257293218,0.03867640064
0.576,0.9304783365,3.679441908,0.8909550065,1.782227297,2.997963019,1.172664935,0.1255605889,0.03867719422
0.5824,0.9256396269,3.675913181,0.8910833531,1.780040014,2.99741877,1.172969484,0.125401375,0.03863122623
0.5888,0.9332392346,3.675378327,0.8865522092,1.780211868,2.997226273,1.173215986,0.1255443115,0.03862532208
0.5952,0.9394710762,3.678584727,0.8854031857,1.782283096,2.997714822,1.172971874,0.1257255457,0.03866511467
0.6016,0.9336434056,3.680007906,0.8896225047,1.782720996,2.998028177,1.172667233,0.1256332808,0.03868415653
0.608,0.9257028313,3.677001972,0.8918240306,1.780624243,2.997601891,1.172843728,0.1254223437,0.03864533768
0.6144,0.9301400481,3.674974333,0.8879610056,1.779814527,2.99719831,1.173188962,0.1254746429,0.03861991608
0.6208,0.9386952165,3.677498391,0.885060168,1.781656104,2.997530308,1.173087795,0.1256913709,0.03865170274
0.6272,0.9365387141,3.680066193,0.8880714269,1.782919074,2.998008959,1.172724072,0.1256919498,0.03868436095
0.6336,0.9272008596,3.67820623,0.8918654676,1.781362019,2.997787979,1.172737217,0.1254737182,0.03866114411
0.64,0.9274802747,3.675084637,0.8894912215,1.779712899,2.997253583,1.173111098,0.1254231838,0.03862090729
0.6464,0.9367268038,3.676413426,0.8853733376,1.780964411,2.997362311,1.173174307,0.1256328929,0.03863833597
0.6528,0.938602091,3.679632136,0.8866257413,1.782800032,2.997910798,1.172823136,0.125725846,0.03867841123
0.6592,0.9298043563,3.679254312,0.8911901888,1.782085377,2.997937968,1.172672208,0.1255439285,0.03867479524
0.6656,0.9258268789,3.675712798,0.8908388472,1.779945078,2.997382429,1.172997403,0.1254014759,0.03862867524
0.672,0.9339248292,3.675529009,0.8862835021,1.78033192,2.997243405,1.17321442,0.1255608141,0.03862725353
0.6784,0.9394620959,3.67880636,0.885565345,1.782401966,2.997754456,1.172944316,0.1257291251,0.03866788133
