"Time","Subsystem #1|CTLs|Vars|P_POI1","Subsystem #1|CTLs|Vars|Ptot_Area1","Subsystem #1|CTLs|Vars|Q_POI1","Subsystem #1|CTLs|Vars|Qtot_Area1","Subsystem #1|Machines|DG|P_DG","Subsystem #1|Machines|DG|Q_DG","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1"
0.1792,0.9290197047,3.674953338,0.8885580345,1.779736353,2.997210074,1.173164083,0.1254517274,0.03861948784
0.1856,0.9380559869,3.677065171,0.8851047904,1.781388119,2.997461088,1.173125995,0.1256710197,0.03864637627
0.192,0.937465322,3.679951936,0.8874797336,1.782909513,2.99797932,1.172758524,0.1257085137,0.03868270633
0.1984,0.928109575,3.678646442,0.891683268,1.781654553,2.997852572,1.172706009,0.1254995786,0.03866691044
0.2048,0.9266912317,3.67527114,0.8900539389,1.779763704,2.997296022,1.173069982,0.1254107493,0.0386231542
0.2112,0.9357103592,3.676035124,0.8856632136,1.780704484,2.997308679,1.173196071,0.125605764,0.03863363256
0.2176,0.9390924919,3.679349859,0.8861548688,1.782674717,2.997855368,1.172868875,0.1257309047,0.03867475645
0.224,0.9309969454,3.679568975,0.8907616079,1.782327061,2.997979438,1.172661293,0.1255731002,0.03867880356
0.2304,0.9255463375,3.676075443,0.8912496348,1.780120542,2.997447398,1.172948266,0.1254024586,0.03863330621
0.2368,0.9327187176,3.675278695,0.8867666146,1.780128483,2.997215927,1.173215311,0.1255320419,0.0386240317
0.2432,0.939433701,3.678412065,0.885301342,1.782188077,2.997684442,1.172992298,0.1257218597,0.03866296963
0.2496,0.9341617164,3.680053716,0.8893703417,1.78277597,2.998030903,1.172673099,0.1256443771,0.03868466031
0.256,0.9258578785,3.677202075,0.8918821277,1.780740804,2.997633792,1.172823928,0.1254290363,0.03864795784
0.2624,0.9296495993,3.674955472,0.8882156135,1.779775261,2.997201795,1.173179203,0.1254644333,0.03861960888
0.2688,0.9384426775,3.677312002,0.8850670369,1.781542067,2.997500211,1.173104772,0.1256830747,0.03864941155
0.2752,0.9369530933,3.680026227,0.8878147846,1.782920868,2.997997689,1.172738088,0.1256995422,0.03868376322
0.2816,0.9275712361,3.678398753,0.8918006255,1.781488274,2.997816469,1.172722982,0.1254844974,0.03866366873
0.288,0.9271215098,3.675155026,0.889736869,1.779728375,2.997270452,1.173094066,0.125417265,0.03862174478
0.2944,0.9363052362,3.676246889,0.8854867911,1.780851482,2.997338305,1.173184533,0.1256214784,0.03863626975
0.3008,0.9388357185,3.679518017,0.8864158817,1.782751322,2.997888038,1.172842387,0.1257285984,0.03867692342
0.3072,0.9303077419,3.679396903,0.8910163762,1.782192726,2.997957086,1.172666464,0.1255564161,0.03867662101
0.3136,0.9256797479,3.675861306,0.8910246177,1.780014916,2.997409477,1.17297648,0.1254012344,0.0386305639
0.32,0.9334117399,3.675414136,0.8864831675,1.780240971,2.997230203,1.173215826,0.1255484272,0.03862578289
0.3264,0.9394751196,3.678641119,0.8854409745,1.782313693,2.997724836,1.172964979,0.1257265846,0.03866581739
0.3328,0.9334688123,3.679989451,0.8897052926,1.78270077,2.99802674,1.172665579,0.1256294905,0.03868394563
