"Time","Subsystem #1|CTLs|Vars|BUS101_FRE","Subsystem #1|CTLs|Vars|V101RMS"
0.7808,0.9999999516,1.007510289
0.7872,0.9999999516,1.007420013
0.7936,1.000000239,1.006740118
0.8,1.000000239,1.006733629
0.8064,1.000000239,1.007355066
0.8128,0.9999998093,1.007556407
0.8192,0.9999998093,1.006930181
0.8256,0.9999999516,1.006631125
0.832,0.9999999516,1.00715561
0.8384,0.9999999516,1.0075954
0.8448,1.000000239,1.007160736
0.8512,1.000000239,1.006619695
0.8576,0.9999998093,1.006947393
0.864,0.9999998093,1.007535509
0.8704,0.9999998093,1.007378612
0.8768,0.9999999516,1.006707833
0.8832,0.9999999516,1.00676661
0.8896,0.9999999516,1.007394575
0.896,1.000000239,1.007533993
0.9024,1.000000239,1.006882731
0.9088,0.9999998093,1.006646676
0.9152,0.9999998093,1.007201974
0.9216,0.9999998093,1.007595585
0.928,0.9999999516,1.007108654
0.9344,0.9999999516,1.006613632
0.9408,1.000000239,1.00699255
0.9472,1.000000239,1.007556682
0.9536,1.000000239,1.007334048
0.96,0.9999998093,1.006679927
0.9664,0.9999998093,1.006802623
0.9728,0.9999998093,1.007431512
0.9792,0.9999999516,1.007506847
0.9856,0.9999999516,1.006837869
0.992,1.000000239,1.006666571
0.9984,1.000000239,2.562169791E-6
1.0048,1.000000239,1.992345982E-6
1.0112,0.8598381785,1.182182612E-6
1.0176,0.8598381785,2.380430908E-6
1.024,0.8598381785,9.829005908E-7
1.0304,0.980045918,1.749779869E-6
1.0368,0.980045918,1.858060186E-6
1.0432,0.9876540854,1.039248872E-6
1.0496,0.9876540854,1.873245168E-6
1.056,0.9876540854,1.340568994E-6
1.0624,0.992900415,1.390860678E-6
1.0688,0.992900415,1.691573779E-6
1.0752,0.992900415,1.168715469E-6
1.0816,0.9959548801,0.6144327625
1.088,0.9959548801,0.876981779
1.0944,1.285114698,0.8876991682
1.1008,1.285114698,0.8890615403
1.1072,0.9903523656,0.8702135541
1.1136,0.9903523656,0.8886575611
1.12,0.9903523656,0.9299138864
1.1264,0.989694191,0.8827089508
1.1328,0.989694191,0.8733371278
1.1392,0.989694191,0.9229655978
1.1456,0.9871195693,0.8751526837
1.152,0.9871195693,0.9229669868
1.1584,0.9960990434,0.8890749515
1.1648,0.9960990434,0.845572349
1.1712,0.9960990434,0.9548538288
1.1776,1.0065512,0.8852279755
1.184,1.0065512,0.9437947608
1.1904,1.0065512,0.9653191869
1.1968,0.9795174075,1.117876985
