,Time,I,O,err
202,0.0101,-0.0001936373133,-0.0001029083944,0.00018656201834998942
203,0.01015,-0.001690643371,-0.0001403570999,0.00020282988950004466
204,0.0102,-0.004810151739,-0.0002184260702,8.588130499864732e-06
205,0.01025,-0.007998178583,-0.0002982868466,-0.00019117879150010175
206,0.0103,-0.009656627285,-0.0003399687499,-0.00021573214249992478
207,0.01035,-0.009589165089,-0.0003385227674,-2.6013294499832584e-05
208,0.0104,-0.00931360564,-0.0003318700657,-1.182106999986221e-05
209,0.01045,-0.008943501846,-0.0003228456845,-4.140923000411911e-06
210,0.0105,-0.008540294336,-0.0003129840441,1.7050819998976063e-06
211,0.01055,-0.008150745829,-0.0003034539693,8.113355002559164e-07
212,0.0106,-0.007767711939,-0.0002940771026,3.4092804999663606e-06
213,0.01065,-0.007411976832,-0.0002853734709,1.3940840000448151e-06
214,0.0107,-0.007067414189,-0.0002769403971,3.1254055002372105e-06
215,0.01075,-0.006747874678,-0.0002691246003,1.3544109997432052e-06
216,0.0108,-0.006439191498,-0.000261572359,2.6897510000678526e-06
217,0.01085,-0.006152044072,-0.0002545510637,1.2164640002532146e-06
218,0.0109,-0.005874643652,-0.0002477663867,2.2734239998323247e-06
219,0.01095,-0.005615447843,-0.0002414301175,1.0598284999607799e-06
220,0.011,-0.005364750281,-0.0002352999308,1.9151095000807805e-06
221,0.01105,-0.005129384034,-0.0002295469513,9.189829998923482e-07
222,0.0111,-0.004901378657,-0.0002239722013,1.6161715001711263e-06
223,0.01115,-0.004686315708,-0.0002187154737,7.976459999586849e-07
224,0.0112,-0.004477646475,-0.0002136132923,1.3710124996402229e-06
225,0.01125,-0.004279960963,-0.0002087806245,6.97018500084301e-07
226,0.0113,-0.004087866885,-0.0002040828703,1.1710575002765733e-06
227,0.01135,-0.003905154065,-0.0001996149625,6.152175000551097e-07
228,0.0114,-0.00372737014,-0.0001952657709,1.0069300000331571e-06
229,0.01145,-0.003557652625,-0.0001911138957,5.456875001447203e-07
230,0.0115,-0.003392314912,-0.0001870673274,8.72043999941563e-07
231,0.01155,-0.003233958979,-0.0001831912575,4.8951049995416e-07
232,0.0116,-0.003079524376,-0.0001794093109,7.590619999914283e-07
233,0.01165,-0.002931171706,-0.0001757756278,4.40397000048276e-07
234,0.0117,-0.002786354323,-0.0001722266622,6.650885000236695e-07
235,0.01175,-0.002646867873,-0.0001688074162,4.005634998277552e-07
236,0.0118,-0.002510589053,-0.0001654649139,5.86473499875062e-07
237,0.01185,-0.002379010925,-0.0001622365806,3.64287500179139e-07
238,0.0119,-0.002250360086,-0.0001590781767,5.207070000595726e-07
239,0.01195,-0.002125878418,-0.000156020838,3.3529099987411604e-07
240,0.012,-0.002004082504,-0.0001530275646,4.6349799999456653e-07
241,0.01205,-0.001886005319,-0.000150124261,3.080905001603962e-07
242,0.0121,-0.001770404581,-0.0001472799476,4.16709500079826e-07
243,0.01215,-0.001658139215,-0.0001445161703,2.8589249991689547e-07
244,0.0122,-0.001548167851,-0.0001418069649,3.7507449994478304e-07
245,0.01225,-0.001441204427,-0.0001391702465,2.6603650006562507e-07
246,0.0123,-0.001336375222,-0.000136584236,3.401389999518889e-07
247,0.01235,-0.001234273236,-0.0001340638195,2.4838199987747833e-07
248,0.0124,-0.001134165062,-0.0001315907205,3.094690001551048e-07
249,0.01245,-0.001036542676,-0.0001291772947,2.339370001186447e-07
250,0.0125,-0.0009407902089,-0.0001268081997,2.844955497849355e-07
251,0.01255,-0.0008473153976,-0.0001244936807,2.190761999587565e-07
252,0.0126,-0.0007556008698,-0.0001222208539,2.606401000790348e-07
253,0.01265,-0.0006659840333,-0.0001199982027,2.0658334998202577e-07
254,0.0127,-0.0005780303194,-0.00011781491,2.4289030006729995e-07
255,0.01275,-0.0004920183371,-0.0001156779861,1.9713144996241772e-07
256,0.0128,-0.0004075831142,-0.0001135783505,2.2494290002200712e-07
257,0.01285,-0.0003249542871,-0.0001115217865,1.8685645006982776e-07
258,0.0129,-0.0002438253302,-0.0001095006723,2.1003489987514445e-07
259,0.01295,-0.0001643850363,-0.0001075197675,1.7849434997413427e-07
260,0.013,-8.637616215e-05,-0.0001055726802,1.9773742504503034e-07
261,0.01305,-9.953369026e-06,-0.0001036633144,1.7007298697135909e-07
262,0.0131,6.509909288e-05,-0.0001017863135,1.8675293998737796e-07
263,0.01315,0.0001386548882,-9.994487169e-05,1.6424910000839565e-07
264,0.0132,0.0002108949161,-9.81345016e-05,1.7680805003417177e-07
265,0.01325,0.000281716398,-9.635780688e-05,1.5787400006739283e-07
266,0.0133,0.0003512707884,-9.461103476e-05,1.682691999835284e-07
267,0.01335,0.0004194749659,-9.289629597e-05,1.5238294996666735e-07
268,0.0134,0.0004864555892,-9.121045623e-05,1.6076959995919848e-07
269,0.01345,0.000552145745,-8.955521979e-05,1.4759750002757421e-07
270,0.0135,0.0006166513097,-8.792797069e-05,1.5430485011264095e-07
271,0.01355,0.0006799187856,-8.633007664e-05,1.432178000221329e-07
272,0.0136,0.000742036469,-8.475936009e-05,1.4858449998503276e-07
273,0.01365,0.0008029620354,-8.321690843e-05,1.3941769990213904e-07
274,0.0137,0.0008627689838,-8.170091306e-05,1.4356689996206096e-07
275,0.01375,0.0009214241041,-8.021223262e-05,1.3590205002328437e-07
276,0.0138,0.0009789886196,-7.874936455e-05,1.3908480000698886e-07
277,0.01385,0.001035436846,-7.731297855e-05,1.32623000040355e-07
278,0.0139,0.001090819512,-7.590183366e-05,1.3525599994526627e-07
279,0.01395,0.001145117124,-7.451644415e-05,1.3011200001439294e-07
280,0.014,0.001198371755,-7.315578474e-05,1.3162750002460033e-07
281,0.01405,0.001250568917,-7.18202439e-05,1.2735849996836635e-07
282,0.0141,0.001301743373,-7.050897858e-05,1.288864999865469e-07
283,0.01415,0.001351884823,-6.922227197e-05,1.253115000030003e-07
284,0.0142,0.001401021925,-6.795943307e-05,1.25912500016645e-07
285,0.01425,0.00144914769,-6.672066179e-05,1.2304499995285934e-07
286,0.0143,0.001496285795,-6.550539124e-05,1.2374749999016776e-07
287,0.01435,0.001542431931,-6.431375385e-05,1.2116549999094395e-07
288,0.0144,0.001587605555,-6.314528776e-05,1.214275000722964e-07
289,0.01445,0.001631804616,-6.200006859e-05,1.1965800007437966e-07
290,0.0145,0.001675045092,-6.087772107e-05,1.1959600002345305e-07
291,0.01455,0.001717326659,-5.977827722e-05,1.1772949999253046e-07
292,0.0146,0.001758662534,-5.870143046e-05,1.1791699997681926e-07
