"Time","Subsystem #1|CTLs|Vars|PGEN","Subsystem #1|CTLs|Vars|Tm","Subsystem #1|Machines|M1|LOADANG1","Subsystem #1|Machines|M1|PMACH","Subsystem #1|Machines|M1|W"
0.0456,0.02795090714,0.0,0.1309834202,0.1273203255,314.3765957
0.04565,0.02808215023,0.0,0.1405972439,0.1277240895,314.3739439
0.0457,0.02821259046,0.0,0.1303344937,0.1281236747,314.3712966
0.04575,0.02834233072,0.0,0.1400099245,0.1285194567,314.3686535
0.0458,0.02847144446,0.0,0.1299014191,0.1289118678,314.3660132
0.04585,0.02860001663,0.0,0.1395978423,0.129301204,314.3633758
0.0459,0.02872810511,0.0,0.1296436128,0.1296878229,314.36074
0.04595,0.02885578018,0.0,0.1393265713,0.130071956,314.3581059
0.046,0.02898308702,0.0,0.129527678,0.1304538996,314.3554724
0.04605,0.02911008392,0.0,0.1391679415,0.1308338327,314.3528399
0.0461,0.02923680574,0.0,0.1295262451,0.1312120016,314.350207
0.04615,0.02936330096,0.0,0.1390989797,0.1315885426,314.3475744
0.0462,0.02948959607,0.0,0.1296169468,0.1319636612,314.3449408
0.04625,0.02961573152,0.0,0.1391009962,0.1323374592,314.342307
0.0463,0.02974172702,0.0,0.1297815381,0.1327101085,314.3396716
0.04635,0.02986761643,0.0,0.139158812,0.1330816829,314.3370356
0.0464,0.029993414,0.0,0.1300051537,0.1334523269,314.3343976
0.04645,0.03011914818,0.0,0.1392601142,0.1338220919,314.3317587
0.0465,0.03024482879,0.0,0.1302756896,0.1341910998,314.3291175
0.04655,0.03037047984,0.0,0.1393949253,0.1345593837,314.326475
0.0466,0.03049610759,0.0,0.1305832931,0.134927047,314.3238301
0.04665,0.0306217324,0.0,0.1395551673,0.1352941083,314.3211837
0.0467,0.03074735767,0.0,0.1309199448,0.1356606556,314.3185347
0.04675,0.03087300073,0.0,0.1397343069,0.1360266958,314.3158841
0.0468,0.0309986627,0.0,0.1312791169,0.1363923044,314.3132307
0.04685,0.03112435842,0.0,0.1399270668,0.136757479,314.3105757
0.0469,0.03125008717,0.0,0.131655496,0.1371222845,314.3079177
0.04695,0.03137586171,0.0,0.140129191,0.1374867112,314.3052581
0.047,0.03150167992,0.0,0.1320447568,0.1378508151,314.3025954
0.04705,0.03162755279,0.0,0.1403372552,0.1382145811,314.2999311
0.0471,0.03175347707,0.0,0.1324433791,0.1385780578,314.2972637
0.04715,0.03187946233,0.0,0.1405485122,0.1389412255,314.2945947
0.0472,0.03200550445,0.0,0.1328484988,0.1393041266,314.2919225
0.04725,0.03213161174,0.0,0.1407607672,0.1396667383,314.2892488
0.0473,0.03225777945,0.0,0.1332577872,0.1400290978,314.2865718
0.04735,0.03238401485,0.0,0.1409722761,0.1403911797,314.2838934
0.0474,0.03251031271,0.0,0.1336693526,0.1407530166,314.2812118
0.04745,0.0326366794,0.0,0.1411816631,0.1411145816,314.2785287
0.0475,0.03276310936,0.0,0.1340816607,0.1414759036,314.2758425
0.04755,0.0328896082,0.0,0.1413878531,0.1418369544,314.2731549
0.0476,0.03301617013,0.0,0.1344934689,0.1421977596,314.2704641
0.04765,0.0331428001,0.0,0.1415900175,0.1425582904,314.267772
0.0477,0.0332694922,0.0,0.1349037743,0.1429185694,314.2650767
0.04775,0.03339625079,0.0,0.1417875292,0.1432785679,314.2623802
0.0478,0.03352306992,0.0,0.1353117693,0.1436383057,314.2596806
0.04785,0.03364995345,0.0,0.141979926,0.1439977541,314.2569799
0.0479,0.03377689544,0.0,0.1357168073,0.144356931,314.254276
0.04795,0.03390389928,0.0,0.1421668811,0.1447158079,314.2515711
0.048,0.03403095913,0.0,0.1361183726,0.1450744005,314.2488632
0.04805,0.03415807796,0.0,0.1423481781,0.1454326813,314.2461543
0.0481,0.03428525005,0.0,0.1365160579,0.1457906639,314.2434423
0.04815,0.03441247798,0.0,0.1425236909,0.1461483216,314.2407295
0.0482,0.03453975621,0.0,0.1369095438,0.1465056665,314.2380137
0.04825,0.03466708697,0.0,0.1426933677,0.1468626726,314.2352971
0.0483,0.03479446489,0.0,0.1372985834,0.1472193507,314.2325775
0.04835,0.03492189191,0.0,0.1428572164,0.1475756756,314.2298572
0.0484,0.03504936285,0.0,0.137682989,0.1479316568,314.2271341
0.04845,0.03517687936,0.0,0.1430152942,0.1482872705,314.2244103
0.0485,0.03530443649,0.0,0.1380626212,0.1486425244,314.2216837
0.04855,0.03543203561,0.0,0.1431676977,0.1489973961,314.2189564
0.0486,0.03555967201,0.0,0.1384373803,0.1493518922,314.2162264
0.04865,0.0356873468,0.0,0.1433145555,0.1497059916,314.2134959
0.0487,0.03581505554,0.0,0.1388071985,0.1500596994,314.2107627
0.04875,0.03594279907,0.0,0.1434560215,0.150412996,314.208029
0.0488,0.03607057322,0.0,0.139172034,0.1507658855,314.2052926
0.04885,0.0361983786,0.0,0.1435922699,0.1511183495,314.2025559
0.0489,0.0363262113,0.0,0.1395318663,0.151470391,314.1998165
0.04895,0.03645407171,0.0,0.1437234907,0.151821993,314.1970768
0.049,0.0365819562,0.0,0.1398866915,0.1521731574,314.1943346
0.04905,0.03670986493,0.0,0.1438498859,0.1525238688,314.1915921
0.0491,0.03683779454,0.0,0.1402365195,0.152874128,314.1888471
0.04915,0.03696574499,0.0,0.1439716665,0.1532239208,314.1861019
0.0492,0.03709371321,0.0,0.1405813707,0.1535732472,314.1833542
0.04925,0.03722169893,0.0,0.1440890501,0.1539220945,314.1806064
0.0493,0.03734969938,0.0,0.1409212739,0.1542704616,314.1778561
0.04935,0.03747771407,0.0,0.1442022583,0.1546183372,314.1751058
0.0494,0.03760574053,0.0,0.1412562645,0.1549657192,314.1723531
0.04945,0.03773377807,0.0,0.1443115157,0.1553125979,314.1696003
0.0495,0.03786182448,0.0,0.1415863826,0.1556589701,314.1668453
0.04955,0.0379898789,0.0,0.1444170476,0.1560048276,314.1640902
0.0496,0.03811793939,0.0,0.141911672,0.1563501664,314.1613329
0.04965,0.0382460049,0.0,0.1445190793,0.1566949794,314.1585756
0.0497,0.03837407378,0.0,0.142232179,0.1570392619,314.1558161
0.04975,0.03850214478,0.0,0.1446178347,0.1573830082,314.1530567
0.0498,0.03863021652,0.0,0.1425479518,0.1577262126,314.1502952
0.04985,0.03875828758,0.0,0.1447135359,0.1580688709,314.1475337
0.0499,0.03888635685,0.0,0.1428590394,0.1584109764,314.1447701
0.04995,0.03901442272,0.0,0.1448064019,0.1587525264,314.1420067
0.05,0.03914248436,0.0,0.1431654913,0.1590935132,314.1392413
0.05005,0.03927053998,0.0,0.1448966484,0.1594339355,314.136476
0.0501,0.03939858901,0.0,0.143467357,0.1597737848,314.1337087
0.05015,0.03952662949,0.0,0.1449844873,0.160113061,314.1309416
0.0502,0.03965466113,0.0,0.1437646859,0.1604517548,314.1281725
0.05025,0.03978268176,0.0,0.1450701259,0.1607898675,314.1254037
0.0503,0.03991069137,0.0,0.1440575264,0.161127389,314.122633
0.05035,0.04003868763,0.0,0.1451537672,0.1614643217,314.1198625
0.0504,0.04016667075,0.0,0.1443459264,0.1618006547,314.1170901
0.05045,0.04029463827,0.0,0.1452356089,0.1621363917,314.1143181
0.0505,0.04042259063,0.0,0.1446299328,0.1624715211,314.1115442
0.05055,0.04055052521,0.0,0.1453158437,0.1628060478,314.1087706
0.0506,0.0406784427,0.0,0.1449095916,0.1631399593,314.1059952
0.05065,0.04080634031,0.0,0.145394659,0.1634732618,314.1032202
0.0507,0.04093421896,0.0,0.1451849473,0.163805942,314.1004434
0.05075,0.04106207573,0.0,0.1454722366,0.1641380071,314.097667
0.0508,0.04118991176,0.0,0.1454560438,0.1644694434,314.0948889
0.05085,0.04131772396,0.0,0.1455487529,0.1648002591,314.0921111
0.0509,0.04144551372,0.0,0.1457229235,0.1651304396,314.0893317
0.05095,0.0415732778,0.0,0.1456243784,0.1654599944,314.0865526
0.051,0.04170101779,0.0,0.1459856278,0.1657889081,314.083772
0.05105,0.04182873032,0.0,0.145699278,0.1661171913,314.0809917
0.0511,0.0419564172,0.0,0.1462441971,0.1664448279,314.0782099
0.05115,0.0420840749,0.0,0.1457736108,0.1667718296,314.0754284
0.0512,0.04221170545,0.0,0.1464986707,0.1670981795,314.0726454
0.05125,0.04233930519,0.0,0.1458475302,0.1674238904,314.0698629
0.0513,0.04246687633,0.0,0.1467490871,0.1677489448,314.0670788
0.05135,0.0425944151,0.0,0.1459211838,0.1680733563,314.0642952
0.0514,0.04272192389,0.0,0.1469954836,0.168397107,314.0615101
0.05145,0.04284939881,0.0,0.1459947134,0.1687202112,314.0587254
0.0515,0.04297684244,0.0,0.147237897,0.1690426506,314.0559393
0.05155,0.04310425075,0.0,0.146068255,0.1693644404,314.0531536
0.0516,0.04323162651,0.0,0.1474763633,0.1696855615,314.0503666
0.05165,0.04335896559,0.0,0.1461419392,0.1700060301,314.04758
0.0517,0.0434862709,0.0,0.1477109179,0.1703258267,314.044792
0.05175,0.04361353823,0.0,0.1462158906,0.1706449681,314.0420045
0.0518,0.04374077063,0.0,0.1479415955,0.1709634343,314.0392157
0.05185,0.04386796379,0.0,0.1462902284,0.171281243,314.0364273
0.0519,0.04399512093,0.0,0.1481684304,0.1715983737,314.0336376
0.05195,0.04412223763,0.0,0.1463650662,0.1719148448,314.0308484
0.052,0.04424931726,0.0,0.1483914566,0.1722306352,314.0280579
0.05205,0.0443763553,0.0,0.1464405123,0.1725457642,314.0252679
0.0521,0.04450335526,0.0,0.1486107077,0.1728602102,314.0224767
0.05215,0.04463031254,0.0,0.1465166693,0.1731739931,314.0196859
0.0522,0.04475723079,0.0,0.1488262174,0.173487091,314.016894
0.05225,0.04488410531,0.0,0.1465936348,0.1737995245,314.0141025
0.0523,0.04501093989,0.0,0.1490380189,0.1741112711,314.0113099
0.05235,0.04513772975,0.0,0.1466715008,0.174422352,314.0085176
0.0524,0.04526447879,0.0,0.1492461456,0.1747327446,314.0057243
0.05245,0.04539118216,0.0,0.1467503546,0.1750424704,314.0029314
0.0525,0.04551784387,0.0,0.149450631,0.1753515065,314.0001375
0.05255,0.04564445902,0.0,0.1468302779,0.1756598752,313.997344
0.0526,0.04577103172,0.0,0.1496515085,0.175967553,313.9945494
0.05265,0.04589755699,0.0,0.1469113479,0.1762745626,313.9917553
0.0527,0.04602403905,0.0,0.1498488119,0.1765808805,313.9889601
0.05275,0.04615047286,0.0,0.1469936367,0.1768865299,313.9861654
0.0528,0.04627686275,0.0,0.1500425753,0.1771914867,313.9833697
0.05285,0.04640320361,0.0,0.1470772115,0.1774957747,313.9805744
0.0529,0.04652949984,0.0,0.150232833,0.1777993697,313.9777782
0.05295,0.04665574632,0.0,0.147162135,0.1781022957,313.9749823
0.053,0.04678194751,0.0,0.1504196197,0.1784045284,313.9721856
0.05305,0.04690809824,0.0,0.1472484652,0.178706092,313.9693892
0.0531,0.04703420305,0.0,0.1506029708,0.1790069622,313.966592
0.05315,0.04716025674,0.0,0.1473362555,0.1793071636,313.9637951
0.0532,0.04728626392,0.0,0.150782922,0.1796066715,313.9609974
0.05325,0.04741221933,0.0,0.1474255551,0.1799055109,313.9582
0.0533,0.04753812767,0.0,0.1509595095,0.1802036569,313.9554019
0.05335,0.04766398364,0.0,0.1475164087,0.1805011349,313.9526041
0.0534,0.04778979199,0.0,0.1511327704,0.1807979198,313.9498055
0.05345,0.04791554741,0.0,0.1476088569,0.1810940373,313.9470072
0.0535,0.04804125468,0.0,0.1513027422,0.1813894621,313.9442083
0.05355,0.04816690848,0.0,0.1477029362,0.1816842201,313.9414096
0.0536,0.04829251365,0.0,0.1514694633,0.1819782862,313.9386102
0.05365,0.04841806484,0.0,0.147798679,0.1822716861,313.9358111
0.0537,0.04854356691,0.0,0.1516329725,0.1825643948,313.9330113
0.05375,0.04866901453,0.0,0.1478961138,0.1828564384,313.9302118
0.0538,0.04879441259,0.0,0.1517933098,0.1831477915,313.9274117
0.05385,0.04891975574,0.0,0.1479952655,0.1834384804,313.9246118
0.0539,0.04904504889,0.0,0.1519505156,0.18372848,313.9218114
