,Time,Pe,Tm,delta,Pt,w,Te
1851,0.09255,0.1932724903,0.0,0.2670101337,0.4584920565,0.9836804414012739,1.0312738853534342
1852,0.0926,0.1934265679,0.0,0.2671163464,0.4585994535,0.9836632535031847,1.0312929936325546
1853,0.09265,0.1935805683,0.0,0.2671607255,0.4587065824,0.9836460649681529,1.0313121019116749
1854,0.0927,0.1937344919,0.0,0.2672660832,0.4588134437,0.9836288764331209,1.0313312101907952
1855,0.09275,0.1938883384,0.0,0.2673112895,0.4589200382,0.9836116872611465,1.0313503184699155
1856,0.0928,0.1940421081,0.0,0.2674157694,0.4590263664,0.983594498089172,1.031359872612191
1857,0.09285,0.1941958009,0.0,0.2674618255,0.4591324293,0.983577308598726,1.0313789808913114
1858,0.0929,0.1943494168,0.0,0.2675654056,0.4592382271,0.983560118789809,1.031398089170432
1859,0.09295,0.194502956,0.0,0.2676123329,0.4593437609,0.9835429286624204,1.031417197454983
1860,0.093,0.1946564184,0.0,0.2677149922,0.459449031,0.9835257382165604,1.0314363057341034
1861,0.09305,0.194809804,0.0,0.2677628113,0.4595540384,0.9835085474522293,1.031455414007793
1862,0.0931,0.1949631131,0.0,0.2678645298,0.4596587834,0.9834913563694269,1.0314649681500683
1863,0.09315,0.1951163454,0.0,0.2679132601,0.459763267,0.9834741652866242,1.0314840764346198
1864,0.0932,0.1952695012,0.0,0.2680140188,0.4598674895,0.983456973566879,1.0315031847137401
1865,0.09325,0.1954225803,0.0,0.2680636789,0.4599714519,0.9834397818471338,1.0315222929928605
1866,0.0933,0.195575583,0.0,0.2681634598,0.4600751546,0.9834225894904459,1.0315414012719808
1867,0.09335,0.1957285092,0.0,0.2682140672,0.4601785984,0.9834053971337581,1.0315509554142566
1868,0.0934,0.1958813589,0.0,0.2683128533,0.4602817838,0.9833882044585988,1.0315700636988077
1869,0.09345,0.1960341322,0.0,0.2683644246,0.4603847116,0.9833710114649681,1.031589171977928
1870,0.0935,0.1961868292,0.0,0.2684621999,0.4604873823,0.9833538181528662,1.0316082802516178
1871,0.09355,0.1963394497,0.0,0.2685147505,0.4605897967,0.9833366245222931,1.031627388530738
1872,0.0936,0.1964919941,0.0,0.2686115001,0.4606919552,0.9833194305732484,1.0316464968152892
1873,0.09365,0.1966444621,0.0,0.2686650443,0.4607938588,0.9833022363057325,1.0316560509575647
1874,0.0937,0.1967968539,0.0,0.2687607543,0.4608955078,0.9832850420382165,1.031675159236685
1875,0.09375,0.1969491696,0.0,0.2688153057,0.460996903,0.9832678471337579,1.0316942675158054
1876,0.0938,0.1971014091,0.0,0.2689099633,0.461098045,0.9832506522292994,1.0317133757949257
1877,0.09385,0.1972535725,0.0,0.2689655342,0.4611989345,0.9832334566878982,1.031732484074046
1878,0.0939,0.1974056598,0.0,0.2690591274,0.461299572,0.9832162611464969,1.031742038216322
1879,0.09395,0.1975576711,0.0,0.2691157291,0.4613999582,0.9831990652866243,1.0317611465008731
1880,0.094,0.1977096064,0.0,0.2692082473,0.4615000937,0.9831818691082802,1.0317802547799935
1881,0.09405,0.1978614657,0.0,0.26926589,0.4615999792,0.9831646726114649,1.0317993630536828
1882,0.0941,0.1980132492,0.0,0.2693573235,0.4616996152,0.9831474757961784,1.0318184713382341
1883,0.09415,0.1981649567,0.0,0.2694160164,0.4617990025,0.9831302786624203,1.0318375796227854
1884,0.0942,0.1983165884,0.0,0.2695063566,0.4618981415,0.983113081210191,1.0318566878964748
1885,0.09425,0.1984681444,0.0,0.2695661077,0.461997033,0.9830958834394904,1.0318662420333196
1886,0.0943,0.1986196245,0.0,0.269655347,0.4620956776,0.9830786856687899,1.0318853503178709
1887,0.09435,0.1987710289,0.0,0.2697161635,0.4621940758,0.9830614872611465,1.031904458602422
1888,0.0944,0.1989223577,0.0,0.2698042954,0.4622922283,0.9830442888535031,1.031914012739267
1889,0.09445,0.1990736108,0.0,0.2698661833,0.4623901358,0.9830270901273885,1.0319426751552319
1890,0.0945,0.1992247882,0.0,0.2699532023,0.4624877987,0.9830098907643313,1.0319617834397832
1891,0.09455,0.1993758901,0.0,0.2700161665,0.4625852178,0.9829926914012739,1.0319713375820587
1892,0.0946,0.1995269165,0.0,0.2701020682,0.4626823936,0.9829754917197452,1.031990445861179
1893,0.09465,0.1996778674,0.0,0.2701661126,0.4627793267,0.9829582917197451,1.0320095541402994
1894,0.0947,0.1998287428,0.0,0.2702508937,0.4628760178,0.9829410914012738,1.0320286624194197
1895,0.09475,0.1999795428,0.0,0.2703160212,0.4629724675,0.9829238907643312,1.0320382165616955
1896,0.0948,0.2001302674,0.0,0.2703996793,0.4630686763,0.9829066901273885,1.0320573248408158
1897,0.09485,0.2002809166,0.0,0.2704658916,0.4631646448,0.9828894888535031,1.0320764331199361
1898,0.0949,0.2004314906,0.0,0.2705484256,0.4632603737,0.9828722875796179,1.0320955413990567
1899,0.09495,0.2005819892,0.0,0.2706157235,0.4633558636,0.9828550856687899,1.0321146496836078
1900,0.095,0.2007324127,0.0,0.2706971331,0.4634511151,0.9828378837579617,1.032133757962728
1901,0.09505,0.2008827609,0.0,0.2707655162,0.4635461287,0.9828206812101911,1.0321528662418484
1902,0.0951,0.201033034,0.0,0.2708458023,0.463640905,0.9828034786624203,1.032162420384124
1903,0.09515,0.2011832319,0.0,0.2709152694,0.4637354447,0.9827862757961783,1.0321815286578135
1904,0.0952,0.2013333548,0.0,0.2709944338,0.4638297483,0.9827690726114651,1.0322006369423646
1905,0.09525,0.2014834026,0.0,0.2710649825,0.4639238164,0.9827518691082802,1.032219745226916
1906,0.0953,0.2016333755,0.0,0.2711430281,0.4640176496,0.9827346652866241,1.032229299363761
1907,0.09535,0.2017832733,0.0,0.2712146551,0.4641112486,0.9827174614649681,1.0322484076428813
1908,0.0954,0.2019330962,0.0,0.2712915857,0.4642046138,0.9827002570063694,1.0322770700642772
1909,0.09545,0.2020828443,0.0,0.2713642866,0.4642977458,0.9826830522292993,1.0322866242011217
1910,0.0955,0.2022325174,0.0,0.2714401071,0.4643906453,0.9826658474522294,1.032305732480242
1911,0.09555,0.2023821158,0.0,0.2715138765,0.4644833129,0.9826486420382166,1.0323248407647936
1912,0.0956,0.2025316393,0.0,0.2715885929,0.464575749,0.9826314366242038,1.032334394907069
1913,0.09565,0.2026810881,0.0,0.2716634245,0.4646679544,0.9826142308917197,1.0323535031861892
1914,0.0957,0.2028304622,0.0,0.2717370435,0.4647599295,0.9825970248407643,1.0323821656021546
1915,0.09575,0.2029797617,0.0,0.27181293,0.4648516749,0.9825798181528663,1.0324012738867059
1916,0.0958,0.2031289865,0.0,0.2718854595,0.4649431913,0.9825626114649681,1.0324012738867059
1917,0.09585,0.2032781367,0.0,0.2719623927,0.4650344791,0.9825454047770701,1.032420382165826
1918,0.0959,0.2034272123,0.0,0.2720338413,0.465125539,0.9825281974522292,1.032449044587222
