"Time","Subsystem #1|CTLs|Vars|Tm","Subsystem #1|CTLs|Vars|WPU"
0.0187,0.0,1.015733589
0.01875,0.0,1.015733535
0.0188,0.0,1.015733482
0.01885,0.0,1.015733428
0.0189,0.0,1.015733374
0.01895,0.0,1.01573332
0.019,0.0,1.015733266
0.01905,0.0,1.015733212
0.0191,0.0,1.015733158
0.01915,0.0,1.015733105
0.0192,0.0,1.015733051
0.01925,0.0,1.015732997
0.0193,0.0,1.015732943
0.01935,0.0,1.015732889
0.0194,0.0,1.015732835
0.01945,0.0,1.015732781
0.0195,0.0,1.015732728
0.01955,0.0,1.015732674
0.0196,0.0,1.01573262
0.01965,0.0,1.015732566
0.0197,0.0,1.015732512
0.01975,0.0,1.015732458
0.0198,0.0,1.015732404
0.01985,0.0,1.015732351
0.0199,0.0,1.015732297
0.01995,0.0,1.015732243
0.02,0.0,1.015732189
0.02005,0.0,1.015732135
0.0201,0.0,1.015732081
0.02015,0.0,1.015732027
0.0202,0.0,1.015731974
0.02025,0.0,1.01573192
0.0203,0.0,1.015731866
0.02035,0.0,1.015731812
0.0204,0.0,1.015731758
0.02045,0.0,1.015731704
0.0205,0.0,1.01573165
0.02055,0.0,1.015731597
0.0206,0.0,1.015731543
0.02065,0.0,1.015731489
0.0207,0.0,1.015731435
0.02075,0.0,1.015731381
0.0208,0.0,1.015731327
0.02085,0.0,1.015731273
0.0209,0.0,1.01573122
0.02095,0.0,1.015731166
0.021,0.0,1.015731112
0.02105,0.0,1.015731058
0.0211,0.0,1.015731004
0.02115,0.0,1.01573095
0.0212,0.0,1.015730896
0.02125,0.0,1.015730842
0.0213,0.0,1.015730789
0.02135,0.0,1.015730735
0.0214,0.0,1.015730681
0.02145,0.0,1.015730627
0.0215,0.0,1.015730573
0.02155,0.0,1.015730519
0.0216,0.0,1.015730465
0.02165,0.0,1.015730412
0.0217,0.0,1.015730358
0.02175,0.0,1.015730304
0.0218,0.0,1.01573025
0.02185,0.0,1.015730196
0.0219,0.0,1.015730142
0.02195,0.0,1.015730089
0.022,0.0,1.015730035
0.02205,0.0,1.015729981
0.0221,0.0,1.015729927
0.02215,0.0,1.015729873
0.0222,0.0,1.015729819
0.02225,0.0,1.015729765
0.0223,0.0,1.015729712
0.02235,0.0,1.015729658
0.0224,0.0,1.015729604
0.02245,0.0,1.01572955
0.0225,0.0,1.015729496
0.02255,0.0,1.015729442
0.0226,0.0,1.015729388
0.02265,0.0,1.015729335
0.0227,0.0,1.015729281
0.02275,0.0,1.015729227
0.0228,0.0,1.015729173
0.02285,0.0,1.015729119
0.0229,0.0,1.015729065
0.02295,0.0,1.015729011
0.023,0.0,1.015728958
0.02305,0.0,1.015728904
0.0231,0.0,1.01572885
0.02315,0.0,1.015728796
0.0232,0.0,1.015728742
0.02325,0.0,1.015728688
0.0233,0.0,1.015728634
0.02335,0.0,1.015728581
0.0234,0.0,1.015728527
0.02345,0.0,1.015728473
0.0235,0.0,1.015728419
0.02355,0.0,1.015728365
0.0236,0.0,1.015728311
0.02365,0.0,1.015728257
0.0237,0.0,1.015728204
0.02375,0.0,1.01572815
0.0238,0.0,1.015728096
0.02385,0.0,1.015728042
0.0239,0.0,1.015727988
0.02395,0.0,1.015727934
0.024,0.0,1.01572788
0.02405,0.0,1.015727827
0.0241,0.0,1.015727773
0.02415,0.0,1.015727719
0.0242,0.0,1.015727665
