87400 [5.12e-01, 4.67e+00]
87600 [5.12e-01, 4.67e+00]
87800 [5.12e-01, 4.68e+00]
88000 [5.12e-01, 4.68e+00]
88200 [5.12e-01, 4.68e+00]
88400 [5.12e-01, 4.68e+00]
88600 [5.12e-01, 4.68e+00]
88800 [5.12e-01, 4.69e+00]
89000 [5.12e-01, 4.69e+00]
89200 [5.12e-01, 4.69e+00]
89400 [5.12e-01, 4.69e+00]
89600 [5.12e-01, 4.69e+00]
89800 [5.11e-01, 4.69e+00]
90000 [5.11e-01, 4.70e+00]
90200 [5.11e-01, 4.70e+00]
90400 [5.11e-01, 4.70e+00]
90600 [5.11e-01, 4.70e+00]
90800 [5.11e-01, 4.70e+00]
91000 [5.11e-01, 4.70e+00]
91200 [5.11e-01, 4.71e+00]
91400 [5.11e-01, 4.71e+00]
91600 [5.11e-01, 4.71e+00]
91800 [5.11e-01, 4.71e+00]
92000 [5.11e-01, 4.71e+00]
92200 [5.11e-01, 4.71e+00]
92400 [5.11e-01, 4.72e+00]
92600 [5.10e-01, 4.72e+00]
92800 [5.10e-01, 4.72e+00]
93000 [5.10e-01, 4.72e+00]
93200 [5.10e-01, 4.72e+00]
93400 [5.10e-01, 4.72e+00]
93600 [5.10e-01, 4.73e+00]
93800 [5.10e-01, 4.73e+00]
94000 [5.10e-01, 4.73e+00]
94200 [5.10e-01, 4.73e+00]
94400 [5.10e-01, 4.73e+00]
94600 [5.10e-01, 4.73e+00]
94800 [5.10e-01, 4.74e+00]
95000 [5.10e-01, 4.74e+00]
95200 [5.10e-01, 4.74e+00]
95400 [5.10e-01, 4.74e+00]
95600 [5.10e-01, 4.74e+00]
95800 [5.10e-01, 4.74e+00]
96000 [5.09e-01, 4.74e+00]
96200 [5.09e-01, 4.75e+00]
96400 [5.09e-01, 4.75e+00]
96600 [5.09e-01, 4.75e+00]
96800 [5.09e-01, 4.75e+00]
97000 [5.09e-01, 4.75e+00]
97200 [5.09e-01, 4.75e+00]
97400 [5.09e-01, 4.75e+00]
97600 [5.09e-01, 4.76e+00]
97800 [5.09e-01, 4.76e+00]
98000 [5.09e-01, 4.76e+00]
98200 [5.09e-01, 4.76e+00]
98400 [5.09e-01, 4.76e+00]
98600 [5.09e-01, 4.76e+00]
98800 [5.09e-01, 4.76e+00]
99000 [5.09e-01, 4.77e+00]
99200 [5.09e-01, 4.77e+00]
99400 [5.09e-01, 4.77e+00]
99600 [5.09e-01, 4.77e+00]
99800 [5.08e-01, 4.77e+00]
100000 [5.08e-01, 4.77e+00]
100200 [5.08e-01, 4.77e+00]
100400 [5.08e-01, 4.77e+00]
100600 [5.08e-01, 4.78e+00]
100800 [5.08e-01, 4.78e+00]
101000 [5.08e-01, 4.78e+00]
101200 [5.08e-01, 4.78e+00]
101400 [5.08e-01, 4.78e+00]
101600 [5.08e-01, 4.78e+00]
101800 [5.08e-01, 4.78e+00]
102000 [5.08e-01, 4.78e+00]
102200 [5.08e-01, 4.79e+00]
102400 [5.08e-01, 4.79e+00]
102600 [5.08e-01, 4.79e+00]
102800 [5.08e-01, 4.79e+00]
103000 [5.08e-01, 4.79e+00]
103200 [5.08e-01, 4.79e+00]
103400 [5.08e-01, 4.79e+00]
103600 [5.08e-01, 4.79e+00]
103800 [5.08e-01, 4.79e+00]
104000 [5.07e-01, 4.80e+00]
104200 [5.07e-01, 4.80e+00]
104400 [5.07e-01, 4.80e+00]
104600 [5.07e-01, 4.80e+00]
104800 [5.07e-01, 4.80e+00]
105000 [5.07e-01, 4.80e+00]
105200 [5.07e-01, 4.80e+00]
105400 [5.07e-01, 4.80e+00]
105600 [5.07e-01, 4.80e+00]
105800 [5.07e-01, 4.81e+00]
106000 [5.07e-01, 4.81e+00]
106200 [5.07e-01, 4.81e+00]
106400 [5.07e-01, 4.81e+00]
106600 [5.07e-01, 4.81e+00]
106800 [5.07e-01, 4.81e+00]
107000 [5.07e-01, 4.81e+00]
107200 [5.07e-01, 4.81e+00]
107400 [5.07e-01, 4.81e+00]
107600 [5.07e-01, 4.81e+00]
107800 [5.07e-01, 4.82e+00]
108000 [5.07e-01, 4.82e+00]
108200 [5.07e-01, 4.82e+00]
108400 [5.07e-01, 4.82e+00]
108600 [5.07e-01, 4.82e+00]
108800 [5.06e-01, 4.82e+00]
109000 [5.06e-01, 4.82e+00]
109200 [5.06e-01, 4.82e+00]
109400 [5.06e-01, 4.82e+00]
109600 [5.06e-01, 4.82e+00]
109800 [5.06e-01, 4.83e+00]
110000 [5.06e-01, 4.83e+00]
110200 [5.06e-01, 4.83e+00]
110400 [5.06e-01, 4.83e+00]
110600 [5.06e-01, 4.83e+00]
110800 [5.06e-01, 4.83e+00]
111000 [5.06e-01, 4.83e+00]
111200 [5.06e-01, 4.83e+00]
111400 [5.06e-01, 4.83e+00]
111600 [5.06e-01, 4.83e+00]
111800 [5.06e-01, 4.83e+00]
112000 [5.06e-01, 4.84e+00]
112200 [5.06e-01, 4.84e+00]
112400 [5.06e-01, 4.84e+00]
112600 [5.06e-01, 4.84e+00]
112800 [5.06e-01, 4.84e+00]
113000 [5.06e-01, 4.84e+00]
