"Time","Subsystem #1|Node Voltages|S1) VDCpA8","Subsystem #1|PV|Array1A|IPVAxxx","Subsystem #1|PV|Array1A|Io1PV"
0.00745,2.46265395,0.001231326975,5.109489909E-12
0.0075,2.46265395,0.001231326975,5.109489909E-12
0.00755,2.46265395,0.001231326975,5.109489909E-12
0.0076,2.46265395,0.001231326975,5.109489909E-12
0.00765,2.46265395,0.001231326975,5.109489909E-12
0.0077,2.46265395,0.001231326975,5.109489909E-12
0.00775,2.46265395,0.001231326975,5.109489909E-12
0.0078,2.46265395,0.001231326975,5.109489909E-12
0.00785,2.46265395,0.001231326975,5.109489909E-12
0.0079,2.46265395,0.001231326975,5.109489909E-12
0.00795,2.46265395,0.001231326975,5.109489909E-12
0.008,2.46265395,0.001231326975,5.109489909E-12
0.00805,2.46265395,0.001231326975,5.109489909E-12
0.0081,2.46265395,0.001231326975,5.109489909E-12
0.00815,2.46265395,0.001231326975,5.109489909E-12
0.0082,2.46265395,0.001231326975,5.109489909E-12
0.00825,2.46265395,0.001231326975,5.109489909E-12
0.0083,2.46265395,0.001231326975,5.109489909E-12
0.00835,2.46265395,0.001231326975,5.109489909E-12
0.0084,2.46265395,0.001231326975,5.109489909E-12
0.00845,2.46265395,0.001231326975,5.109489909E-12
0.0085,2.46265395,0.001231326975,5.109489909E-12
0.00855,2.46265395,0.001231326975,5.109489909E-12
0.0086,2.46265395,0.001231326975,5.109489909E-12
0.00865,2.46265395,0.001231326975,5.109489909E-12
0.0087,2.46265395,0.001231326975,5.109489909E-12
0.00875,2.46265395,0.001231326975,5.109489909E-12
0.0088,2.46265395,0.001231326975,5.109489909E-12
0.00885,2.46265395,0.001231326975,5.109489909E-12
0.0089,2.46265395,0.001231326975,5.109489909E-12
0.00895,2.46265395,0.001231326975,5.109489909E-12
0.009,2.46265395,0.001231326975,5.109489909E-12
0.00905,2.46265395,0.001231326975,5.109489909E-12
0.0091,2.46265395,0.001231326975,5.109489909E-12
0.00915,2.46265395,0.001231326975,5.109489909E-12
0.0092,2.46265395,0.001231326975,5.109489909E-12
0.00925,2.46265395,0.001231326975,5.109489909E-12
0.0093,2.46265395,0.001231326975,5.109489909E-12
0.00935,2.46265395,0.001231326975,5.109489909E-12
0.0094,2.46265395,0.001231326975,5.109489909E-12
0.00945,2.46265395,0.001231326975,5.109489909E-12
0.0095,2.46265395,0.001231326975,5.109489909E-12
0.00955,2.46265395,0.001231326975,5.109489909E-12
0.0096,2.46265395,0.001231326975,5.109489909E-12
0.00965,2.46265395,0.001231326975,5.109489909E-12
0.0097,2.46265395,0.001231326975,5.109489909E-12
0.00975,2.46265395,0.001231326975,5.109489909E-12
0.0098,2.46265395,0.001231326975,5.109489909E-12
0.00985,2.46265395,0.001231326975,5.109489909E-12
0.0099,2.46265395,0.001231326975,5.109489909E-12
0.00995,2.46265395,0.001231326975,5.109489909E-12
0.01,2.46265395,0.001231326975,5.109489909E-12
0.01005,2.46265395,0.001231326975,5.109489909E-12
0.0101,2.46265395,0.001231326975,5.109489909E-12
0.01015,2.46265395,0.001231326975,5.109489909E-12
0.0102,2.46265395,0.001231326975,5.109489909E-12
0.01025,2.46265395,0.001231326975,5.109489909E-12
0.0103,2.46265395,0.001231326975,5.109489909E-12
0.01035,2.46265395,0.001231326975,5.109489909E-12
0.0104,2.46265395,0.001231326975,5.109489909E-12
0.01045,2.46265395,0.001231326975,5.109489909E-12
0.0105,2.46265395,0.001231326975,5.109489909E-12
0.01055,2.46265395,0.001231326975,5.109489909E-12
0.0106,2.46265395,0.001231326975,5.109489909E-12
0.01065,2.46265395,0.001231326975,5.109489909E-12
0.0107,2.46265395,0.001231326975,5.109489909E-12
0.01075,2.46265395,0.001231326975,5.109489909E-12
0.0108,2.46265395,0.001231326975,5.109489909E-12
0.01085,2.46265395,0.001231326975,5.109489909E-12
0.0109,2.46265395,0.001231326975,5.109489909E-12
0.01095,2.46265395,0.001231326975,5.109489909E-12
0.011,2.46265395,0.001231326975,5.109489909E-12
0.01105,2.46265395,0.001231326975,5.109489909E-12
0.0111,2.46265395,0.001231326975,5.109489909E-12
0.01115,2.46265395,0.001231326975,5.109489909E-12
0.0112,2.46265395,0.001231326975,5.109489909E-12
0.01125,2.46265395,0.001231326975,5.109489909E-12
0.0113,2.46265395,0.001231326975,5.109489909E-12
0.01135,2.46265395,0.001231326975,5.109489909E-12
0.0114,2.46265395,0.001231326975,5.109489909E-12
0.01145,2.46265395,0.001231326975,5.109489909E-12
0.0115,2.46265395,0.001231326975,5.109489909E-12
0.01155,2.46265395,0.001231326975,5.109489909E-12
0.0116,2.46265395,0.001231326975,5.109489909E-12
0.01165,2.46265395,0.001231326975,5.109489909E-12
0.0117,2.46265395,0.001231326975,5.109489909E-12
0.01175,2.46265395,0.001231326975,5.109489909E-12
0.0118,2.46265395,0.001231326975,5.109489909E-12
0.01185,2.46265395,0.001231326975,5.109489909E-12
