"Time","Subsystem #1|CTLs|Vars|AngPLLM1","Subsystem #1|CTLs|Vars|I107d","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|PSTAT_TEST","Subsystem #1|CTLs|Vars|QSTAT_TEST","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|ISTATA1M1","Subsystem #1|Machines|M1|ISTATB1M1","Subsystem #1|Machines|M1|ISTATC1M1","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1","Subsystem #1|Node Voltages|S1) V107A","Subsystem #1|Node Voltages|S1) V107B","Subsystem #1|Node Voltages|S1) V107C"
0.349,0.9638916056,0.2302817613,0.2820364061,-0.0302189258,-0.0370104744,380.9101287,0.1225505996,0.04536782166,-0.759017228,0.3623720542,0.443813315,0.09704398833,0.118854127,0.1776570475,-0.2183952816,0.04073841301,0.1225620441,0.04538796622,0.9556608645,-0.7513416733,0.3575934789,-0.2771500392,-0.08036457897
0.3491,1.001982647,0.2302685761,0.2820202576,-0.03036135889,-0.03718491859,380.9107001,0.1225621249,0.04538796673,-0.7590039629,0.3624611753,0.4439224655,0.09687293566,0.1186446311,0.1831426498,-0.2152852165,0.03214274906,0.1225737042,0.04540772424,0.9556558218,-0.7514174728,0.3616510739,-0.2674810445,-0.09408976907
0.3492,1.040073745,0.2302555753,0.282004335,-0.03050318015,-0.03735861345,380.9112657,0.122573785,0.04540772475,-0.7589908517,0.3625499191,0.444031154,0.09670168966,0.1184348985,0.1883717906,-0.2118725323,0.02350092729,0.122585469,0.04542714823,0.9556508387,-0.7514942441,0.3651982205,-0.257431844,-0.1076847866
0.3493,1.0781649,0.2302427325,0.2819886058,-0.03064442538,-0.03753160282,380.9118256,0.1225855498,0.04542714874,-0.7589778958,0.3626383062,0.4441394057,0.09653011251,0.1182247602,0.1933370362,-0.2081619159,0.01482506829,0.1225973324,0.04544619159,0.9556459159,-0.7515718845,0.3682298313,-0.2470165178,-0.1211304779
0.3494,1.11625611,0.2302300177,0.2819730334,-0.03078510334,-0.03770389743,380.9123797,0.1225974131,0.04544619209,-0.7589650965,0.3627263165,0.4442471958,0.09635831791,0.1180143557,0.1980313097,-0.2041584958,0.006127377625,0.1226092635,0.04546490945,0.9556410537,-0.7516502856,0.3707414793,-0.2362498341,-0.1344076365
0.3495,1.154347376,0.2302174031,0.2819575838,-0.03092525103,-0.0378755426,380.9129279,0.1226093443,0.04546490996,-0.7589524548,0.3628139759,0.4443545563,0.09618616434,0.1178035115,0.2024479222,-0.1998678009,-0.002579927068,0.1226212581,0.04548325436,0.9556362525,-0.7517293454,0.3727295451,-0.2251468991,-0.1474975519
0.3496,1.192438695,0.2302048582,0.2819422195,-0.03106487761,-0.03804654954,380.9134702,0.1226213389,0.04548325486,-0.7589399716,0.3629012731,0.444461473,0.0960137639,0.1175923649,0.2065805648,-0.1952957906,-0.01128457755,0.1226332884,0.04550128198,0.9556315125,-0.7518089602,0.3741910912,-0.213723458,-0.1603815276
0.3497,1.230530069,0.2301923556,0.2819269069,-0.03120402135,-0.03821696511,380.9140064,0.1226333692,0.04550128249,-0.7589276475,0.3629882273,0.4445679698,0.09584098437,0.1173807541,0.2104233356,-0.1904488083,-0.01997432826,0.1226453479,0.0455189489,0.9556268339,-0.751889028,0.3751239931,-0.2019955597,-0.1730414043
0.3498,1.268621496,0.2301798658,0.2819116101,-0.0313426928,-0.03838680226,380.9145365,0.1226454287,0.0455189494,-0.7589154832,0.3630748413,0.4446740498,0.09566793543,0.1171688133,0.2139707322,-0.1853336107,-0.02863692033,0.122657414,0.04553631028,0.9556222168,-0.7519694537,0.375526813,-0.1899798411,-0.1854590954
0.3499,1.306712976,0.2301673613,0.2818962953,-0.03148092982,-0.03855610734,380.9150603,0.1226574948,0.04553631078,-0.7589034788,0.3631611263,0.4447797269,0.09549448625,0.1169563823,0.217217677,-0.1799573219,-0.03726015196,0.1226694787,0.04555332367,0.9556176613,-0.7520501371,0.3753989279,-0.1776931968,-0.1976170981
