"Time","Subsystem #1|CTLs|Vars|AngPLLM1","Subsystem #1|CTLs|Vars|I107d","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|PSTAT_TEST","Subsystem #1|CTLs|Vars|QSTAT_TEST","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|ISTATA1M1","Subsystem #1|Machines|M1|ISTATB1M1","Subsystem #1|Machines|M1|ISTATC1M1","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1","Subsystem #1|Node Voltages|S1) V107A","Subsystem #1|Node Voltages|S1) V107B","Subsystem #1|Node Voltages|S1) V107C"
0.0035,0.9904371078,0.2135828761,0.2615845321,-0.08380758051,-0.1026429044,376.9916533,0.1255202565,0.03862280749,-0.7689136595,0.3813217249,0.4670218269,-0.01439790627,-0.01763376187,0.139600933,-0.2274647367,0.08786397392,0.1255083191,0.03862181623,0.9594721931,-0.7687733272,0.3191259053,-0.3407456348,0.02169568472
0.0036,1.028136271,0.213561662,0.2615585503,-0.08380862968,-0.1026441894,376.9916047,0.1255083979,0.03862181675,-0.7689134172,0.3813208427,0.4670207464,-0.01440495971,-0.01764240053,0.1463443261,-0.2261597024,0.07981555183,0.1254967712,0.03862098585,0.9594720547,-0.7687050964,0.3267835066,-0.3340342335,0.007328916651
0.0037,1.065835429,0.2135404433,0.2615325628,-0.08380975959,-0.1026455732,376.9915534,0.12549685,0.03862098636,-0.7689130573,0.3813209353,0.4670208599,-0.01441195784,-0.01765097145,0.1528791236,-0.2245343193,0.07165537644,0.1254856028,0.03862032362,0.9594718718,-0.7686377403,0.3339781181,-0.3268493697,-0.007048432922
0.0038,1.103534581,0.2135193399,0.2615067164,-0.08381096658,-0.1026470515,376.9914994,0.1254856816,0.03862032414,-0.7689125817,0.3813220134,0.4670221803,-0.01441885868,-0.01765942322,0.159196219,-0.2225910424,0.06339500909,0.1254748813,0.03861983663,0.9594716452,-0.7685716502,0.3406995848,-0.3192011542,-0.02141610213
0.0039,1.141233728,0.2134984724,0.2614811591,-0.08381224617,-0.1026486187,376.9914431,0.1254749601,0.03861983715,-0.7689119927,0.3813240819,0.4670247137,-0.01442562388,-0.01766770887,0.165286823,-0.2203327648,0.05504613205,0.1254646725,0.03861952969,0.9594713762,-0.7685072147,0.3469384092,-0.3111003372,-0.03575384678
0.004,1.17893287,0.2134779616,0.2614560386,-0.08381359318,-0.1026502684,376.9913849,0.1254647512,0.03861953021,-0.7689112934,0.3813271402,0.4670284592,-0.0144322093,-0.01767577432,0.1711424729,-0.2177628112,0.04662053299,0.1254550392,0.03861940892,0.9594710662,-0.7684448169,0.352685756,-0.3025583028,-0.05004145105
0.0041,1.216632005,0.2134579274,0.2614315018,-0.0838150024,-0.1026519943,376.9913249,0.1254551179,0.03861940943,-0.7689104874,0.3813311811,0.4670334083,-0.01443858101,-0.01768357805,0.1767550428,-0.2148849318,0.03813008777,0.1254460425,0.03861947569,0.9594707169,-0.7683848324,0.3579334728,-0.2935870443,-0.06425877251
0.0042,1.254331135,0.2134384882,0.2614076938,-0.08381646742,-0.1026537886,376.9912636,0.1254461213,0.03861947621,-0.7689095792,0.3813361919,0.4670395454,-0.01444469707,-0.01769106866,0.182116752,-0.2117032959,0.02958674649,0.1254377397,0.03861973392,0.9594703302,-0.7683276262,0.3626740947,-0.2841991531,-0.07838575793
0.0043,1.292030258,0.2134197603,0.2613847569,-0.08381798258,-0.1026556443,376.9912013,0.1254378184,0.03861973443,-0.7689085736,0.3813421524,0.4670468454,-0.01445051794,-0.01769819774,0.1872201742,-0.2082224838,0.02100251582,0.1254301839,0.03862018526,0.9594699081,-0.7682735503,0.3669008563,-0.2744078046,-0.09240246964
0.0044,1.329729375,0.213401857,0.2613628299,-0.083819541,-0.102657553,376.9911383,0.1254302626,0.03862018578,-0.7689074763,0.3813490362,0.4670552762,-0.014456007,-0.01770492043,0.1920582448,-0.2044474796,0.01238944417,0.1254234246,0.03862082962,0.9594694532,-0.7682229409,0.3706077022,-0.2642267363,-0.1062891172
0.0045,1.367428486,0.2133848878,0.261342047,-0.0838211353,-0.1026595056,376.991075,0.1254235033,0.03862083014,-0.7689062934,0.3813568098,0.4670647969,-0.01446112483,-0.01771118847,0.1966242689,-0.2003836631,0.003759606581,0.1254175059,0.03862166703,0.9594689679,-0.7681761157,0.3737892931,-0.2536702408,-0.1200260716
0.0046,1.40512759,0.2133689576,0.2613225366,-0.08382275778,-0.1026614927,376.9910117,0.1254175845,0.03862166755,-0.7689050317,0.3813654335,0.4670753588,-0.01446584235,-0.01771696623,0.2009119279,-0.1960368018,-0.004874911151,0.125412468,0.03862269308,0.959468455,-0.7681333727,0.376441018,-0.2427531358,-0.1335939062
