"Time","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.0104,0.2612017566,-0.1024782717,376.9911172,-0.7692118684,0.4679066725,-0.01768679763,0.1255728699,0.03862618897,0.9595868434,-0.7690033061
0.0105,0.261195986,-0.1024805481,376.9910904,-0.769211508,0.4679100561,-0.01768918519,0.1255715547,0.03862716057,0.9595866973,-0.7689916663
0.0106,0.2611905983,-0.1024829045,376.9910638,-0.7692111281,0.4679137104,-0.01769135239,0.1255704852,0.0386282318,0.9595865445,-0.7689812555
0.0107,0.2611856223,-0.1024853266,376.9910375,-0.7692107309,0.4679176139,-0.0176932851,0.1255696666,0.03862939739,0.9595863859,-0.7689721281
0.0108,0.2611810846,-0.1024878015,376.9910117,-0.7692103186,0.4679217449,-0.01769497268,0.1255691028,0.0386306507,0.9595862224,-0.7689643317
0.0109,0.2611770093,-0.102490315,376.9909865,-0.7692098935,0.4679260793,-0.01769640791,0.1255687964,0.03863198402,0.9595860549,-0.7689579062
0.011,0.2611734181,-0.102492853,376.9909621,-0.769209458,0.4679305939,-0.01769758321,0.1255687486,0.03863338996,0.9595858844,-0.7689528845
0.0111,0.2611703294,-0.1024954013,376.9909387,-0.7692090146,0.4679352632,-0.01769849043,0.1255689591,0.03863486113,0.9595857118,-0.7689492911
0.0112,0.2611677596,-0.1024979457,376.9909162,-0.7692085658,0.4679400624,-0.01769913095,0.125569427,0.03863638764,0.959585538,-0.7689471441
0.0113,0.2611657216,-0.1025004719,376.9908949,-0.769208114,0.4679449656,-0.0176995004,0.1255701494,0.03863796168,0.9595853641,-0.7689464533
0.0114,0.261164226,-0.1025029665,376.9908749,-0.7692076618,0.4679499469,-0.01769959509,0.1255711222,0.03863957526,0.959585191,-0.7689472206
0.0115,0.2611632801,-0.102505416,376.9908563,-0.7692072117,0.4679549792,-0.01769941721,0.12557234,0.03864121878,0.9595850196,-0.7689494406
0.0116,0.2611628886,-0.1025078069,376.9908391,-0.7692067662,0.4679600364,-0.01769896337,0.125573796,0.03864288473,0.959584851,-0.7689530999
0.0117,0.261163053,-0.1025101263,376.9908236,-0.7692063278,0.4679650912,-0.01769824366,0.1255754827,0.03864456179,0.9595846861,-0.768958178
0.0118,0.261163772,-0.1025123612,376.9908096,-0.7692058989,0.4679701179,-0.01769725913,0.1255773912,0.0386462422,0.9595845257,-0.7689646471
0.0119,0.2611650414,-0.1025145003,376.9907975,-0.769205482,0.4679750896,-0.01769601402,0.1255795108,0.03864791717,0.9595843708,-0.7689724716
0.012,0.2611668542,-0.1025165319,376.9907871,-0.7692050793,0.46797998,-0.01769451627,0.1255818305,0.03864957738,0.9595842223,-0.7689816092
0.0121,0.2611692003,-0.1025184451,376.9907785,-0.769204693,0.4679847634,-0.01769276981,0.1255843374,0.0386512151,0.9595840809,-0.7689920102
0.0122,0.2611720671,-0.1025202297,376.9907719,-0.7692043255,0.4679894143,-0.01769079054,0.1255870187,0.03865281955,0.9595839475,-0.7690036189
0.0123,0.2611754392,-0.1025218755,376.9907672,-0.7692039786,0.4679939084,-0.01768858627,0.1255898599,0.03865438324,0.9595838227,-0.7690163729
0.0124,0.2611792982,-0.1025233743,376.9907644,-0.7692036543,0.4679982216,-0.01768616698,0.1255928456,0.03865589822,0.9595837074,-0.7690302035
0.0125,0.2611836235,-0.102524718,376.9907637,-0.7692033545,0.4680023304,-0.01768354688,0.1255959597,0.03865735587,0.9595836022,-0.7690450363
0.0126,0.2611883919,-0.1025258991,376.9907649,-0.7692030808,0.4680062126,-0.01768073855,0.1255991855,0.03865874877,0.9595835076,-0.7690607914
0.0127,0.2611935778,-0.1025269112,376.990768,-0.7692028349,0.4680098467,-0.01767775454,0.1256025051,0.03866006989,0.9595834242,-0.7690773833
