"",Time,theta,Id,Idrms,Iq,Iqrms,Ws,p_test,q_test,Tmpu,Vd,Vdrms,Vq,Vqrms,Ia,Ib,Ic,ph,qh,Wr,Te,Va,Vb,Vc,phCalcPeak,phCalcRMS,qhCalcPeak,qhCalcRMS,edp,eqp,edp_dt,eqp_dt,edp_Calc,eqp_Calc
24,0.0024,2.523534,0.213546,0.261540,-0.083842,-0.102685,376.990545,0.125610,0.038683,-0.768870,0.381661,0.467438,-0.014382,-0.017615,0.187218,0.021250,-0.208467,0.125622,0.038683,0.959456,-0.768965,0.221317,0.158956,-0.380211,0.124062,0.124062,0.043392,0.043392,0.359948,-0.057064,0.010031,0.033555,0.899271,4.537914
25,0.0025,2.561233,0.213568,0.261566,-0.083841,-0.102683,376.990594,0.125622,0.038683,-0.768870,0.381662,0.467439,-0.014375,-0.017606,0.182096,0.029857,-0.211952,0.125633,0.038684,0.959456,-0.769034,0.209420,0.171938,-0.381299,0.124074,0.124074,0.043393,0.043393,0.359948,-0.057061,-0.001777,0.032287,0.899248,4.538371
26,0.0026,2.598932,0.213589,0.261592,-0.083839,-0.102682,376.990646,0.125633,0.038684,-0.768871,0.381661,0.467438,-0.014368,-0.017597,0.176713,0.038422,-0.215136,0.125644,0.038685,0.959456,-0.769101,0.197224,0.184674,-0.381843,0.124085,0.124085,0.043394,0.043394,0.359947,-0.057059,-0.013435,0.030830,0.899226,4.538829
27,0.0027,2.636631,0.213610,0.261618,-0.083838,-0.102680,376.990700,0.125644,0.038685,-0.768871,0.381660,0.467436,-0.014361,-0.017589,0.171078,0.046935,-0.218013,0.125655,0.038685,0.959456,-0.769167,0.184749,0.197147,-0.381843,0.124096,0.124096,0.043395,0.043395,0.359946,-0.057056,-0.024876,0.029193,0.899204,4.539285
28,0.0028,2.674330,0.213631,0.261644,-0.083836,-0.102678,376.990756,0.125655,0.038685,-0.768872,0.381658,0.467433,-0.014354,-0.017581,0.165199,0.055381,-0.220580,0.125665,0.038685,0.959456,-0.769232,0.172010,0.209338,-0.381299,0.124106,0.124106,0.043395,0.043395,0.359943,-0.057054,-0.036046,0.027433,0.899182,4.539736
29,0.0029,2.712029,0.213652,0.261669,-0.083835,-0.102676,376.990814,0.125665,0.038685,-0.768872,0.381654,0.467429,-0.014348,-0.017573,0.159082,0.063750,-0.222832,0.125675,0.038685,0.959457,-0.769294,0.159027,0.221231,-0.380212,0.124116,0.124116,0.043396,0.043396,0.359940,-0.057052,-0.046893,0.025549,0.899162,4.540181
30,0.0030,2.749728,0.213672,0.261694,-0.083833,-0.102674,376.990874,0.125675,0.038685,-0.768873,0.381650,0.467424,-0.014342,-0.017565,0.152738,0.072029,-0.224767,0.125684,0.038685,0.959457,-0.769353,0.145818,0.232808,-0.378583,0.124125,0.124125,0.043396,0.043396,0.359936,-0.057050,-0.057366,0.023553,0.899142,4.540617
31,0.0031,2.787427,0.213691,0.261717,-0.083831,-0.102672,376.990935,0.125684,0.038685,-0.768874,0.381645,0.467418,-0.014336,-0.017558,0.146176,0.080206,-0.226382,0.125692,0.038684,0.959457,-0.769410,0.132402,0.244053,-0.376415,0.124134,0.124134,0.043396,0.043396,0.359930,-0.057048,-0.067422,0.021481,0.899124,4.541040
32,0.0032,2.825126,0.213710,0.261740,-0.083830,-0.102670,376.990997,0.125692,0.038684,-0.768875,0.381639,0.467411,-0.014330,-0.017551,0.139404,0.088270,-0.227673,0.125700,0.038684,0.959458,-0.769464,0.118798,0.254950,-0.373712,0.124142,0.124142,0.043395,0.043395,0.359925,-0.057046,-0.077018,0.019317,0.899107,4.541450
33,0.0033,2.862825,0.213728,0.261762,-0.083828,-0.102668,376.991060,0.125700,0.038684,-0.768876,0.381633,0.467403,-0.014325,-0.017545,0.132432,0.096208,-0.228640,0.125706,0.038683,0.959458,-0.769515,0.105026,0.265483,-0.370476,0.124150,0.124150,0.043395,0.043395,0.359918,-0.057045,-0.086114,0.017070,0.899092,4.541843
