"Time","Subsystem #1|CTLs|Vars|I1070_rms","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|P_POI1","Subsystem #1|CTLs|Vars|Ptot_Area1","Subsystem #1|CTLs|Vars|Q_POI1","Subsystem #1|CTLs|Vars|Qtot_Area1","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V101RMS","Subsystem #1|CTLs|Vars|V1070_rms","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|DG|P_DG","Subsystem #1|Machines|DG|Q_DG","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.0026,-6.87118697E-8,0.2615688126,-0.1026447069,376.9916207,0.9313274002,3.67507428,0.8873808042,1.779938057,-0.7689118729,1.006612374,-3.069514863E-5,0.4670172105,-0.01763938325,2.997199352,1.173208122,0.1255003457,0.03862132307,0.9594714758,-0.7687261672
0.0027,-7.095185385E-8,0.2615428089,-0.1026460582,376.9915702,0.9308127671,3.675022083,0.887625187,1.779879869,-0.7689115522,1.006613646,-3.162188276E-5,0.4670169243,-0.01764798239,2.997197357,1.173201809,0.1254890426,0.03862060401,0.9594713076,-0.7686584723
0.0028,-7.309400036E-8,0.2615168974,-0.1026475055,376.9915171,0.9303064994,3.674983952,0.8878748047,1.779829542,-0.768911115,1.006617724,-3.250468758E-5,0.4670178413,-0.01765647663,2.997197707,1.173194005,0.1254781638,0.03862005862,0.9594710955,-0.7685919128
0.0029,-7.513460421E-8,0.2614912256,-0.1026490435,376.9914616,0.9298116027,3.67496022,0.8881283676,1.77978746,-0.7689105636,1.006624617,-3.334200728E-5,0.4670199701,-0.01766482343,2.997200408,1.17318475,0.1254677762,0.03861969073,0.9594708406,-0.768526879
0.003,-7.707006921E-8,0.2614659414,-0.1026506658,376.9914039,0.9293309281,3.674951193,0.8883844956,1.779753893,-0.7689099007,1.006634319,-3.413233895E-5,0.4670233127,-0.01767297104,2.997205453,1.173174091,0.1254579439,0.03861950638,0.9594705441,-0.7684637564
0.0031,-7.889692134E-8,0.2614411921,-0.1026523665,376.9913445,0.9288673288,3.674957051,0.8886417569,1.779729144,-0.7689091298,1.006646805,-3.48742386E-5,0.4670278628,-0.01768086878,2.997212821,1.173162084,0.1254487282,0.03861951001,0.9594702077,-0.7684029232
0.0032,-8.061182283E-8,0.2614171236,-0.1026541388,376.9912836,0.9284236148,3.674977897,0.8888987234,1.779713449,-0.7689082552,1.006662032,-3.556632733E-5,0.4670336066,-0.01768846964,2.997222477,1.173148794,0.1254401876,0.03861970411,0.9594698332,-0.768344748
0.0033,-8.221158635E-8,0.2613938792,-0.1026559748,376.9912215,0.9280023751,3.675013747,0.8891539999,1.779706983,-0.7689072815,1.00667994,-3.62072975E-5,0.4670405228,-0.0176957248,2.997234374,1.173134294,0.1254323767,0.03862009094,0.9594694227,-0.7682895876
0.0034,-8.36931893E-8,0.2613715989,-0.1026578667,376.9911587,0.9276063301,3.675064524,0.8894061115,1.779709879,-0.7689062142,1.006700449,-3.679591897E-5,0.4670485812,-0.01770258555,2.997248452,1.173118662,0.125425346,0.03862067169,0.9594689785,-0.7682377832
0.0035,-8.505378818E-8,0.2613504187,-0.1026598057,376.9910955,0.9272378532,3.675130036,0.8896535866,1.779722227,-0.7689050591,1.006723459,-3.733104516E-5,0.4670577443,-0.01770901213,2.997264638,1.173101986,0.1254191422,0.0386214442,0.959468503,-0.7681896599
0.0036,-8.62907327E-8,0.2613304688,-0.1026617818,376.9910322,0.9268992912,3.67521004,0.8898949861,1.779743998,-0.7689038229,1.006748853,-3.781161908E-5,0.4670679661,-0.01771496027,2.997282845,1.173084359,0.1254138066,0.03862240716,0.959467999,-0.7681455223
0.0037,-8.740157961E-8,0.2613118736,-0.1026637858,376.9909692,0.9265928154,3.675304152,0.8901289189,1.779775165,-0.7689025126,1.006776495,-3.823667903E-5,0.4670791923,-0.01772038672,2.997302976,1.17306588,0.125409375,0.03862355796,0.9594674694,-0.7681056527
0.0038,-8.838410596E-8,0.2612947501,-0.1026658074,376.9909068,0.9263204001,3.675411893,0.8903539384,1.779815632,-0.7689011356,1.006806229,-3.860536408E-5,0.4670913603,-0.0177252559,2.997324919,1.173046654,0.1254058779,0.03862489104,0.9594669172,-0.7680703086
0.0039,-8.923632168E-8,0.2612792073,-0.102667835,376.9908456,0.9260838487,3.675532696,0.8905686935,1.779865214,-0.7688996998,1.006837882,-3.89169191E-5,0.4671044004,-0.01772952804,2.997348553,1.173026793,0.1254033392,0.03862640161,0.9594663456,-0.7680397205
0.004,-8.995648132E-8,0.261265345,-0.1026698575,376.9907857,0.9258847368,3.675665873,0.8907718633,1.779923711,-0.7688982137,1.006871267,-3.917069939E-5,0.4671182352,-0.01773317916,2.997373745,1.17300641,0.1254017777,0.03862807968,0.959465758,-0.7680140904
0.0041,-9.054309461E-8,0.2612532532,-0.1026718621,376.9907276,0.92572444,3.67581069,0.8909621836,1.779990763,-0.7688966858,1.006906179,-3.936617476E-5,0.4671327811,-0.01773617855,2.997400354,1.172985623,0.1254012052,0.03862991739,0.9594651577,-0.7679935894
0.0042,-9.099493604E-8,0.2612430113,-0.1026738372,376.9906717,0.925604075,3.675966286,0.8911384293,1.780066042,-0.7688951252,1.0069424,-3.950293299E-5,0.4671479475,-0.0177385017,2.997428226,1.172964554,0.1254016265,0.03863190441,0.9594645483,-0.7679783559
0.0043,-9.131105281E-8,0.2612346874,-0.1026757699,376.9906182,0.9255244631,3.676131714,0.8912995105,1.780149122,-0.7688935408,1.006979699,-3.95806827E-5,0.4671636383,-0.01774013074,2.997457203,1.172943327,0.1254030404,0.03863402846,0.9594639335,-0.7679684946
0.0044,-9.149077132E-8,0.2612283374,-0.1026776472,376.9905676,0.9254862478,3.676305961,0.8914443006,1.780239519,-0.7688919422,1.007017836,-3.95992554E-5,0.4671797528,-0.0177410506,2.997487115,1.172922066,0.1254054387,0.03863627663,0.9594633167,-0.7679640753
0.0045,-9.153370212E-8,0.2612240047,-0.1026794563,376.9905201,0.9254897655,3.676487938,0.89157193,1.78033669,-0.7688903387,1.007056561,-3.955860686E-5,0.4671961861,-0.01774124945,2.997517789,1.172900896,0.1254088061,0.03863863511,0.9594627018,-0.7679651318
0.0046,-9.143974302E-8,0.2612217198,-0.1026811841,376.990476,0.9255351243,3.676676481,0.8916814708,1.780440065,-0.7688887397,1.007095618,-3.945881769E-5,0.4672128305,-0.01774072841,2.997549044,1.172879944,0.1254131219,0.03864108682,0.9594620922,-0.7679716623
0.0047,-9.120908031E-8,0.2612214998,-0.1026828173,376.9904357,0.9256220743,3.676870411,0.8917722237,1.78054895,-0.7688871548,1.00713475,-3.930009308E-5,0.4672295762,-0.017739487,2.997580697,1.172859333,0.1254183584,0.038643616,0.9594614916,-0.7679836289
0.0048,-9.084218829E-8,0.2612233483,-0.1026843439,376.9903993,0.9257501037,3.677068475,0.8918435669,1.78066268,-0.7688855933,1.007173695,-3.908276172E-5,0.4672463121,-0.01773752905,2.997612562,1.172839186,0.1254244815,0.0386462061,0.9594609036,-0.7680009569
0.0049,-9.033982674E-8,0.2612272552,-0.102685752,376.9903672,0.9259185015,3.677269384,0.8918949524,1.780780537,-0.7688840644,1.007212194,-3.880727394E-5,0.4672629269,-0.01773486842,2.997644448,1.172819622,0.1254314515,0.03864883848,0.9594603316,-0.7680235368
0.005,-8.97030366E-8,0.2612331969,-0.1026870299,376.9903395,0.9261262285,3.677471845,0.8919259925,1.780901749,-0.7688825772,1.00724999,-3.847419907E-5,0.4672793106,-0.01773151709,2.997676167,1.172800758,0.125439223,0.03865149621,0.9594597789,-0.7680512237
0.0051,-8.893313385E-8,0.2612411362,-0.1026881669,376.9903164,0.9263720044,3.677674528,0.8919364648,1.781025562,-0.7688811404,1.007286833,-3.808422199E-5,0.467295355,-0.01772750441,2.99770753,1.172782706,0.1254477462,0.03865415838,0.9594592489,-0.7680838402
0.0052,-8.80317016E-8,0.261251023,-0.1026891528,376.990298,0.9266542724,3.677876156,0.891926263,1.781151113,-0.7688797624,1.007322484,-3.763813906E-5,0.4673109558,-0.01772285419,2.99773835,1.172765573,0.1254569662,0.03865680756,0.9594587447,-0.768121177
0.0053,-8.700058068E-8,0.2612627943,-0.1026899795,376.9902845,0.9269712883,3.678075423,0.8918953871,1.781277613,-0.7688784513,1.007356709,-3.713685339E-5,0.4673260116,-0.01771759691,2.997768443,1.17274946,0.1254668237,0.03865942539,0.9594582691,-0.7681629942
0.0054,-8.584185855E-8,0.2612763748,-0.1026906393,376.990276,0.9273210158,3.678271057,0.8918440395,1.781404241,-0.7688772147,1.007389291,-3.65813695E-5,0.4673404263,-0.01771176968,2.997797632,1.172734462,0.1254772561,0.03866199326,0.9594578249,-0.7682090243
0.0055,-8.455785724E-8,0.261291678,-0.102691126,376.9902724,0.9277012892,3.678461824,0.8917725044,1.781530173,-0.7688760598,1.007420027,-3.597278758E-5,0.4673541098,-0.01770541167,2.997825742,1.172720667,0.1254881975,0.03866449372,0.9594574146,-0.7682589739
0.0056,-8.315111978E-8,0.2613086061,-0.1026914347,376.9902739,0.9281096294,3.678646538,0.8916812079,1.7816546,-0.7688749932,1.007448727,-3.531229727E-5,0.467366978,-0.01769856399,2.997852607,1.172708154,0.1254995791,0.03866691034,0.9594570407,-0.7683125262
0.0057,-8.162439605E-8,0.2613270516,-0.1026915622,376.9902804,0.9285435499,3.678824049,0.8915707412,1.78177675,-0.768874021,1.007475222,-3.460117124E-5,0.4673789544,-0.01769127874,2.997878069,1.172696996,0.1255113311,0.03866922534,0.9594567052,-0.7683693445
0.0058,-7.998062783E-8,0.2613468978,-0.1026915062,376.9902918,0.9290002712,3.678993318,0.8914417977,1.781895805,-0.7688731486,1.007499361,-3.384075847E-5,0.4673899701,-0.0176836039,2.997901979,1.172687256,0.1255233813,0.0386714243,0.9594564099,-0.7684290739
