"Time","Subsystem #1|CTLs|Vars|I107d","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|PSTAT_TEST","Subsystem #1|CTLs|Vars|QSTAT_TEST","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.0036,0.2133050442,0.2612442589,-0.08383133408,-0.1026719965,376.9906908,0.1254016649,0.03862919201,-0.7688976867,0.3814243376,0.4671475013,-0.01448299472,-0.01773797351,0.1254016757,0.03863113083,0.9594655362,-0.7679848782
0.0037,0.2132977208,0.2612352896,-0.08383292513,-0.1026739451,376.9906365,0.1254017543,0.03863113134,-0.7688961092,0.381437014,0.4671630266,-0.0144845147,-0.01773983509,0.125402759,0.03863321053,0.9594649227,-0.7679732171
0.0038,0.2132919948,0.2612282767,-0.08383447412,-0.1026758422,376.9905849,0.1254028376,0.03863321105,-0.7688945143,0.3814500642,0.4671790099,-0.01448546029,-0.0177409932,0.1254048302,0.03863541853,0.9594643062,-0.7679669784
0.0039,0.2132879052,0.261223268,-0.08383597095,-0.1026776755,376.9905363,0.1254049088,0.03863541904,-0.7688929113,0.3814634038,0.4671953475,-0.01448582049,-0.01774143435,0.1254078765,0.03863774148,0.9594636903,-0.767966208
0.004,0.2132854804,0.2612202982,-0.08383740504,-0.1026794319,376.9904911,0.1254079551,0.038637742,-0.7688913098,0.3814769452,0.4672119321,-0.01448559227,-0.01774115484,0.1254118787,0.0386401635,0.9594630785,-0.767970916
0.0041,0.213284738,0.261219389,-0.08383876563,-0.1026810982,376.9904495,0.1254119574,0.03864016402,-0.7688897192,0.3814905991,0.4672286547,-0.01448477104,-0.01774014905,0.1254168109,0.03864266986,0.9594624745,-0.7679810759
0.0042,0.2132856846,0.2612205483,-0.0838400426,-0.1026826622,376.9904118,0.1254168896,0.03864267037,-0.7688881488,0.3815042751,0.4672454043,-0.01448336654,-0.01773842889,0.1254226419,0.03864524126,0.9594618819,-0.7679966256
0.0043,0.2132883158,0.2612237708,-0.08384122536,-0.1026841108,376.9903782,0.1254227206,0.03864524178,-0.7688866081,0.3815178827,0.4672620702,-0.01448138428,-0.01773600112,0.1254293338,0.03864786129,0.9594613041,-0.7680174674
0.0044,0.2132926158,0.2612290373,-0.08384230504,-0.1026854331,376.990349,0.1254294125,0.0386478618,-0.7688851059,0.3815313316,0.4672785416,-0.01447883569,-0.01773287976,0.125436843,0.03865051192,0.9594607447,-0.7680434681
0.0045,0.2132985581,0.2612363151,-0.08384327261,-0.1026866181,376.9903244,0.1254369217,0.03865051244,-0.7688836513,0.3815445327,0.4672947096,-0.01447573828,-0.01772908622,0.125445121,0.03865317426,0.9594602068,-0.768074461
0.0046,0.2133061053,0.2612455585,-0.0838441197,-0.1026876556,376.9903044,0.1254451997,0.03865317478,-0.7688822528,0.3815573994,0.467310468,-0.01447210947,-0.01772464185,0.125454114,0.03865583072,0.9594596936,-0.7681102465
0.0047,0.2133152092,0.2612567085,-0.08384483897,-0.1026885365,376.9902893,0.1254541927,0.03865583124,-0.7688809185,0.3815698481,0.4673257146,-0.01446797918,-0.0177195833,0.1254637649,0.03865846065,0.9594592081,-0.7681505952
0.0048,0.2133258119,0.261269694,-0.08384542343,-0.1026892523,376.9902791,0.1254638436,0.03865846117,-0.7688796563,0.3815817994,0.4673403519,-0.01446337357,-0.0177139426,0.125474012,0.03866104673,0.9594587531,-0.7681952488
0.0049,0.2133378455,0.2612844321,-0.08384586822,-0.1026897971,376.9902739,0.1254740907,0.03866104724,-0.7688784733,0.3815931778,0.4673542874,-0.0144583229,-0.01770775681,0.1254847903,0.03866357141,0.9594583313,-0.7682439221
0.005,0.2133512333,0.2613008288,-0.08384616898,-0.1026901654,376.9902737,0.125484869,0.03866357193,-0.7688773766,0.3816039128,0.4673674351,-0.01445286305,-0.0177010699,0.1254960322,0.03866601692,0.959457945,-0.7682963062
0.0051,0.2133658901,0.2613187796,-0.08384632242,-0.1026903534,376.9902785,0.1254961109,0.03866601743,-0.7688763722,0.3816139399,0.4673797158,-0.01444703047,-0.01769392647,0.1255076679,0.03866836718,0.9594575964,-0.7683520705
0.0052,0.213381723,0.2613381708,-0.0838463268,-0.1026903587,376.9902882,0.1255077466,0.03866836769,-0.7688754659,0.3816232004,0.4673910575,-0.01444086301,-0.01768637291,0.1255196255,0.03867060719,0.9594572876,-0.7684108653
0.0053,0.2133986321,0.2613588803,-0.08384618147,-0.1026901807,376.9903029,0.1255197042,0.0386706077,-0.7688746628,0.3816316424,0.4674013968,-0.0144344065,-0.01767846534,0.1255318328,0.03867272104,0.9594570201,-0.7684723258
0.0054,0.2134165117,0.2613807782,-0.08384588682,-0.1026898199,376.9903224,0.1255319115,0.03867272156,-0.7688739673,0.3816392206,0.4674106781,-0.01442770301,-0.01767025527,0.1255442166,0.03867469624,0.9594567954,-0.7685360737
0.0055,0.2134352504,0.2614037283,-0.08384544538,-0.1026892792,376.9903465,0.1255442954,0.03867469676,-0.7688733832,0.3816458963,0.4674188542,-0.01442079464,-0.01766179428,0.1255567032,0.03867652171,0.9594566147,-0.7686017201
0.0056,0.2134547328,0.2614275893,-0.08384486059,-0.102688563,376.9903752,0.125556782,0.03867652223,-0.7688729135,0.3816516377,0.4674258859,-0.01441372824,-0.01765313974,0.1255692197,0.03867818631,0.959456479,-0.7686688689
0.0057,0.2134748398,0.2614522153,-0.08384413681,-0.1026876766,376.9904081,0.1255692985,0.03867818683,-0.7688725607,0.3816564203,0.4674317433,-0.01440654498,-0.01764434208,0.1255816934,0.03867968259,0.9594563889,-0.768737119
0.0058,0.2134954497,0.2614774571,-0.08384328004,-0.1026866272,376.9904451,0.1255817722,0.03867968311,-0.7688723264,0.381660226,0.4674364044,-0.01439929602,-0.01763546396,0.125594054,0.03868100086,0.9594563448,-0.7688060679
