"Time","Subsystem #1|CTLs|Vars|AngPLLM1","Subsystem #1|CTLs|Vars|I107d","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|PSTAT_TEST","Subsystem #1|CTLs|Vars|QSTAT_TEST","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|ISTATA1M1","Subsystem #1|Machines|M1|ISTATB1M1","Subsystem #1|Machines|M1|ISTATC1M1","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1","Subsystem #1|Node Voltages|S1) V107A","Subsystem #1|Node Voltages|S1) V107B","Subsystem #1|Node Voltages|S1) V107C"
0.02,0.9688446096,0.2132898688,0.261225673,-0.08366707641,-0.1024708227,376.9912148,0.1255820993,0.03862315249,-0.7692129806,0.3820361878,0.4678968617,-0.01443266058,-0.01767632703,0.1354780208,-0.2277460311,0.09226785477,0.1255796689,0.03862358265,0.9595873051,-0.7690554217,0.3150750527,-0.345071287,0.0299273137
0.0201,1.00654373,0.2132842426,0.2612187822,-0.08366860671,-0.102472697,376.9911886,0.1255797475,0.03862358316,-0.7692127083,0.3820380108,0.4678990944,-0.01443518709,-0.01767942136,0.142339899,-0.2266400547,0.08429999643,0.1255775204,0.03862413801,0.9595871902,-0.7690398538,0.3230113892,-0.3386247127,0.01554282702
0.0202,1.044242847,0.213278827,0.2612121495,-0.0836702399,-0.1024746972,376.991162,0.125577599,0.03862413852,-0.7692124097,0.3820401079,0.4679016628,-0.0144375751,-0.01768234606,0.1489995741,-0.2252125736,0.07621283658,0.1255755868,0.03862481201,0.9595870658,-0.7690252566,0.3304892468,-0.3316971536,0.001135934142
0.0203,1.081941962,0.2132736522,0.2612058117,-0.08367196576,-0.1024768109,376.9911351,0.1255756654,0.03862481253,-0.7692120863,0.3820424674,0.4679045526,-0.01443980982,-0.01768508303,0.1554476496,-0.2234656394,0.06801782348,0.1255738783,0.03862560147,0.9595869326,-0.7690117095,0.3374979874,-0.324298395,-0.01327293947
0.0204,1.119641074,0.2132687463,0.2611998032,-0.08367377477,-0.1024790265,376.9911083,0.1255739569,0.03862560199,-0.76921174,0.382045074,0.467907745,-0.01444187825,-0.01768761632,0.1616750282,-0.2214017503,0.0597265525,0.1255724034,0.03862650162,0.9595867914,-0.7689992847,0.3440276331,-0.3164388931,-0.02766335818
0.0205,1.157340184,0.2132641361,0.261194157,-0.08367565635,-0.102481331,376.9910815,0.125572482,0.03862650214,-0.7692113729,0.3820479125,0.4679112214,-0.01444377097,-0.01768993442,0.1676729233,-0.2190238467,0.05135075089,0.1255711697,0.03862750644,0.959586643,-0.7689880485,0.350068881,-0.3081297559,-0.04201490945
0.0206,1.195039291,0.2132598466,0.2611889034,-0.08367759946,-0.1024837108,376.9910549,0.1255712483,0.03862750696,-0.769210987,0.382050966,0.4679149612,-0.01444547735,-0.01769202429,0.1734328707,-0.216335308,0.04290226217,0.1255701834,0.03862861015,0.9595864882,-0.7689780599,0.3556131169,-0.2993827301,-0.05630723107
0.0207,1.232738395,0.2132559007,0.2611840707,-0.08367959311,-0.1024861525,376.9910288,0.125570262,0.03862861067,-0.7692105845,0.3820542171,0.467918943,-0.01444698704,-0.01769387328,0.1789467401,-0.2133399473,0.0343930296,0.1255694491,0.03862980668,0.9595863279,-0.7689693712,0.3606524253,-0.2902101887,-0.07052003315
0.0208,1.270437496,0.2132523195,0.2611796846,-0.08368162584,-0.1024886421,376.9910032,0.1255695276,0.0386298072,-0.7692101676,0.3820576472,0.467923144,-0.01444829672,-0.01769547731,0.1842067462,-0.2100420059,0.02583507994,0.1255689707,0.03863108741,0.9595861629,-0.7689620274,0.3651796057,-0.2806251078,-0.08463313785
0.0209,1.308136595,0.213249122,0.2611757685,-0.08368368585,-0.1024911651,376.9909783,0.1255690493,0.03863108792,-0.7692097388,0.3820612375,0.4679275412,-0.01444939899,-0.01769682731,0.1892054583,-0.2064461484,0.01724050828,0.1255687504,0.03863244554,0.9595859943,-0.7689560666,0.3691881805,-0.2706410506,-0.09862650355
0.021,1.345835692,0.2132463249,0.2611723427,-0.08368576204,-0.1024937079,376.9909542,0.125568829,0.03863244606,-0.7692093004,0.3820649681,0.4679321103,-0.01445028643,-0.0176979142,0.1939358116,-0.2025574554,0.008621460381,0.1255687889,0.03863387403,0.959585823,-0.7689515186,0.3726724041,-0.2602721524,-0.1124802483
0.0211,1.383534786,0.2132439429,0.2611694254,-0.08368784294,-0.1024962564,376.990931,0.1255688675,0.03863387454,-0.7692088549,0.3820688184,0.4679368259,-0.01445095692,-0.01769873537,0.1983911158,-0.1983814172,-9.883556888E-6,0.1255690857,0.03863536395,0.9595856499,-0.7689484062,0.3756272745,-0.2495330947,-0.1261746879
0.0212,1.421233878,0.2132419883,0.2611670315,-0.0836899168,-0.1024987964,376.990909,0.1255691642,0.03863536446,-0.7692084048,0.3820727678,0.4679416628,-0.01445140336,-0.01769928214,0.2025650648,-0.1939239262,-0.008641324702,0.1255696385,0.03863690842,0.959585476,-0.7689467438,0.3780485368,-0.2384390959,-0.1396903485
0.0213,1.458932968,0.2132404711,0.2611651734,-0.0836919724,-0.102501314,376.9908881,0.1255697171,0.03863690894,-0.7692079526,0.3820767946,0.4679465947,-0.01445163004,-0.01769955977,0.2064517453,-0.189191269,-0.01726066329,0.1255704449,0.03863849652,0.9595853022,-0.768946539,0.3799326951,-0.2270058772,-0.1530080123
0.0214,1.496632056,0.213239399,0.2611638604,-0.08369399791,-0.1025037947,376.9908685,0.1255705234,0.03863849704,-0.7692075009,0.3820808781,0.4679515959,-0.01445163361,-0.01769956414,0.2100456445,-0.1841901189,-0.02585571322,0.1255715,0.03864012082,0.9595851296,-0.7689477916,0.3812770139,-0.2152496473,-0.1661087349
0.0215,1.534331142,0.2132387773,0.2611630989,-0.08369598299,-0.1025062259,376.9908504,0.1255715786,0.03864012133,-0.769207052,0.3820849963,0.4679566396,-0.01445141361,-0.01769929471,0.2133416587,-0.1789275262,-0.0344143206,0.1255727981,0.03864177261,0.959584959,-0.7689504933,0.3820795244,-0.2031870807,-0.1789738729
0.0216,1.572030226,0.2132386089,0.2611628926,-0.08369791678,-0.1025085943,376.9908338,0.1255728767,0.03864177313,-0.7692066086,0.3820891273,0.467961699,-0.01445097247,-0.01769875442,0.2163350999,-0.1734109087,-0.04292437946,0.1255743322,0.0386434426,0.9595847915,-0.7689546285,0.382339028,-0.1908352913,-0.1915851133
0.0217,1.609729309,0.2132388943,0.2611632422,-0.08369978872,-0.102510887,376.9908187,0.1255744108,0.03864344311,-0.7692061732,0.3820932494,0.4679667476,-0.01445031215,-0.0176979457,0.2190217028,-0.1676480426,-0.05137384823,0.125576094,0.03864512204,0.959584628,-0.768960174,0.382055098,-0.1782118086,-0.2039245001
0.0218,1.64742839,0.2132396317,0.2611641454,-0.08370158883,-0.1025130916,376.9908054,0.1255761725,0.03864512256,-0.769205748,0.382097341,0.4679717587,-0.01444943432,-0.01769687058,0.2213976308,-0.1616470521,-0.0597507665,0.1255780737,0.03864680254,0.9595844694,-0.768967099,0.3812280818,-0.1653345602,-0.2159744532
0.0219,1.68512747,0.2132408169,0.2611655968,-0.08370330736,-0.1025151964,376.9907938,0.1255781522,0.03864680306,-0.7692053355,0.3821013803,0.4679767059,-0.01444834814,-0.01769554028,0.223459482,-0.1554163975,-0.06804327153,0.1255802612,0.03864847347,0.9595843165,-0.7689753661,0.3798591006,-0.1522218355,-0.2277178049
0.022,1.722826549,0.2132424432,0.2611675887,-0.0837049347,-0.1025171895,376.990784,0.1255803398,0.03864847399,-0.7692049381,0.3821053465,0.4679815635,-0.0144470582,-0.01769396043,0.225204294,-0.1489648664,-0.07623961376,0.1255826449,0.03865012663,0.9595841703,-0.7689849307,0.3779500478,-0.138892264,-0.2391378193
0.0221,1.760525627,0.2132445018,0.2611701099,-0.08370646262,-0.1025190608,376.9907761,0.1255827234,0.03865012715,-0.7692045578,0.3821092186,0.4679863058,-0.01444556934,-0.01769213696,0.2266295487,-0.1423015596,-0.08432817411,0.1255852116,0.03865175389,0.9595840314,-0.7689957411,0.3755035877,-0.1253647931,-0.250218214
0.0222,1.798224704,0.2132469815,0.2611731469,-0.08370788294,-0.1025208003,376.9907701,0.1255852902,0.0386517544,-0.7692041969,0.3821129757,0.4679909072,-0.01444389125,-0.01769008174,0.2277331766,-0.1354358801,-0.09229748003,0.125587948,0.03865334581,0.9595839009,-0.769007739,0.3725231516,-0.1116586525,-0.2609431911
0.0223,1.835923781,0.213249869,0.2611766834,-0.08370918779,-0.1025223984,376.990766,0.1255880265,0.03865334632,-0.7692038574,0.382116598,0.4679953437,-0.01444202877,-0.01768780067,0.2285135595,-0.1283775205,-0.1001362209,0.1255908387,0.03865489533,0.9595837792,-0.7690208596,0.3690129353,-0.09779334156,-0.2712974482
0.0224,1.873622857,0.2132531488,0.2611807003,-0.08371037031,-0.1025238467,376.9907639,0.1255909173,0.03865489585,-0.7692035411,0.3821200659,0.467999591,-0.01443999769,-0.01768531312,0.228969534,-0.121136449,-0.107833265,0.125593869,0.03865639186,0.9595836672,-0.7690350327,0.3649778917,-0.08378858378,-0.2812662153
0.0225,1.911321934,0.2132568032,0.2611851761,-0.08371142351,-0.1025251366,376.9907638,0.1255939476,0.03865639238,-0.7692032498,0.3821233612,0.4680036268,-0.01443780608,-0.01768262896,0.2291003941,-0.1137228984,-0.1153776734,0.1255970224,0.03865782866,0.9595835654,-0.7690501821,0.3604237236,-0.06966430806,-0.2908352676
0.0226,1.94902101,0.2132608127,0.2611900866,-0.0837123423,-0.1025262619,376.9907657,0.1255971009,0.03865782918,-0.7692029852,0.3821264654,0.4680074287,-0.01443546456,-0.01767976119,0.2289058919,-0.1061473496,-0.1227587176,0.1256002815,0.0386591982,0.9595834745,-0.7690662259,0.3553568783,-0.05544062052,-0.2999909474
0.0227,1.986720087,0.2132651556,0.2611954055,-0.08371312153,-0.1025272163,376.9907695,0.1256003601,0.03865919872,-0.7692027489,0.3821293615,0.4680109757,-0.01443298636,-0.01767672602,0.2283862397,-0.09842051872,-0.1299658936,0.1256036288,0.03866049271,0.9595833949,-0.7690830774,0.3497845369,-0.04113777218,-0.3087201865
0.0228,2.024419164,0.2132698086,0.2612011043,-0.08371375675,-0.1025279942,376.9907753,0.1256037073,0.03866049322,-0.769202542,0.3821320333,0.468014248,-0.01443038388,-0.01767353865,0.2275421097,-0.0905533422,-0.1369889372,0.1256070459,0.0386617054,0.9595833272,-0.7691006451,0.3437146044,-0.02677612989,-0.3170105241
0.0229,2.062118242,0.2132747465,0.261207152,-0.08371424445,-0.1025285916,376.990783,0.1256071244,0.03866170592,-0.7692023658,0.3821344656,0.4680172269,-0.01442766886,-0.01767021344,0.2263746343,-0.08255696179,-0.143817839,0.1256105137,0.03866283025,0.9595832716,-0.7691188333,0.3371557022,-0.0123761548,-0.3248501224
0.023,2.099817321,0.2132799428,0.2612135161,-0.08371458172,-0.1025290046,376.9907926,0.1256105923,0.03866283076,-0.7692022214,0.3821366442,0.4680198951,-0.01442486012,-0.01766677346,0.2248854049,-0.07444270891,-0.1504428592,0.1256140137,0.03866385935,0.9595832286,-0.7691375429,0.3301171507,0.002041639431,-0.33222779
