"Time","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.0055,0.2618410471,-0.1026361503,376.9919423,-0.7689085632,0.4671124607,-0.01754319389,0.1256478027,0.0386410811,0.9594707243,-0.7695073943
0.0056,0.2618248468,-0.1026360373,376.9919403,-0.7689095983,0.4671002454,-0.01754938395,0.1256369158,0.03863893244,0.9594710877,-0.7694562634
0.0057,0.2618072156,-0.1026360534,376.9919337,-0.7689105432,0.4670886975,-0.01755598602,0.1256256242,0.03863684383,0.9594714144,-0.7694019158
0.0058,0.2617882435,-0.1026361986,376.9919227,-0.7689113925,0.4670778806,-0.01756296696,0.1256139872,0.03863482608,0.9594717024,-0.7693446325
0.0059,0.2617680281,-0.1026364718,376.9919073,-0.7689121414,0.4670678562,-0.01757029467,0.1256020668,0.03863288902,0.9594719501,-0.7692847122
0.006,0.2617466739,-0.1026368714,376.9918875,-0.7689127855,0.4670586834,-0.01757793229,0.1255899271,0.03863104331,0.959472156,-0.7692224698
0.0061,0.2617242921,-0.1026373958,376.9918635,-0.7689133209,0.4670504176,-0.01758583991,0.1255776337,0.03862929956,0.9594723189,-0.7691582351
0.0062,0.2617010002,-0.1026380429,376.9918353,-0.7689137443,0.4670431117,-0.01759398308,0.1255652547,0.03862766616,0.9594724377,-0.7690923522
0.0063,0.2616769213,-0.1026388096,376.9918031,-0.7689140532,0.4670368145,-0.01760231914,0.1255528588,0.03862615344,0.9594725116,-0.7690251773
0.0064,0.2616521841,-0.1026396939,376.991767,-0.7689142454,0.4670315705,-0.0176108025,0.1255405157,0.03862477154,0.9594725402,-0.7689570773
0.0065,0.2616269218,-0.1026406926,376.9917273,-0.7689143197,0.4670274192,-0.01761939102,0.1255282958,0.03862352869,0.9594725231,-0.7688884278
0.0066,0.2616012718,-0.102641802,376.9916841,-0.7689142751,0.4670243959,-0.01762803397,0.1255162692,0.03862243497,0.9594724602,-0.7688196115
0.0067,0.2615753753,-0.1026430183,376.9916376,-0.7689141117,0.4670225299,-0.01763669179,0.1255045068,0.03862149618,0.9594723519,-0.7687510169
0.0068,0.2615493759,-0.1026443364,376.9915881,-0.7689138301,0.4670218457,-0.01764531348,0.1254930781,0.03862072114,0.9594721986,-0.7686830354
0.0069,0.2615234195,-0.1026457525,376.9915358,-0.7689134314,0.4670223603,-0.01765384935,0.1254820514,0.03862011691,0.959472001,-0.768616059
0.007,0.2614976537,-0.1026472612,376.9914811,-0.7689129177,0.4670240846,-0.01766225147,0.1254714938,0.03861968928,0.9594717601,-0.7685504787
0.0071,0.2614722261,-0.1026488566,376.9914241,-0.7689122915,0.4670270226,-0.01767046979,0.1254614702,0.03861944381,0.9594714773,-0.7684866815
0.0072,0.2614472845,-0.1026505326,376.9913652,-0.7689115562,0.4670311705,-0.01767845271,0.1254520427,0.03861938546,0.959471154,-0.768425048
0.0073,0.2614229751,-0.1026522824,376.9913048,-0.7689107156,0.4670365176,-0.01768615679,0.1254432712,0.03861951598,0.959470792,-0.7683659507
0.0074,0.2613994423,-0.1026540981,376.9912431,-0.7689097743,0.4670430451,-0.0176935326,0.1254352119,0.03861983833,0.9594703932,-0.7683097506
0.0075,0.2613768274,-0.1026559725,376.9911805,-0.7689087375,0.4670507261,-0.0177005307,0.1254279164,0.03862035425,0.9594699599,-0.7682567947
0.0076,0.2613552676,-0.102657897,376.9911174,-0.768907611,0.4670595248,-0.0177071079,0.1254214328,0.03862106281,0.9594694946,-0.7682074133
0.0077,0.2613348953,-0.1026598622,376.991054,-0.768906401,0.4670693982,-0.01771321566,0.1254158036,0.03862196395,0.9594689998,-0.7681619178
0.0078,0.2613158369,-0.1026618588,376.9909909,-0.7689051145,0.4670802946,-0.01771881991,0.1254110671,0.03862305247,0.9594684783,-0.7681205983
0.0079,0.2612982119,-0.1026638755,376.9909283,-0.7689037589,0.4670921549,-0.01772387865,0.1254072557,0.03862432536,0.9594679333,-0.7680837212
0.008,0.261282132,-0.1026659025,376.9908667,-0.7689023418,0.4671049113,-0.01772835489,0.1254043955,0.03862577707,0.9594673678,-0.7680515263
0.0081,0.2612677003,-0.1026679281,376.9908063,-0.7689008715,0.4671184891,-0.01773221717,0.1254025069,0.03862740007,0.9594667852,-0.7680242251
0.0082,0.2612550101,-0.1026699405,376.9907476,-0.7688993566,0.4671328063,-0.01773543582,0.1254016038,0.03862918597,0.9594661887,-0.7680019991
0.0083,0.2612441445,-0.1026719273,376.9906909,-0.7688978058,0.4671477745,-0.01773798351,0.1254016932,0.03863112531,0.959465582,-0.7679849973
0.0084,0.2612351752,-0.1026738759,376.9906366,-0.7688962284,0.4671632997,-0.01773984507,0.1254027766,0.03863320501,0.9594649686,-0.7679733363
0.0085,0.2612281624,-0.1026757731,376.990585,-0.7688946334,0.4671792829,-0.01774100317,0.1254048478,0.03863541301,0.959464352,-0.7679670976
0.0086,0.2612231537,-0.1026776063,376.9905364,-0.7688930305,0.4671956204,-0.0177414443,0.125407894,0.03863773596,0.9594637361,-0.7679663272
0.0087,0.261220184,-0.1026793627,376.9904912,-0.768891429,0.467212205,-0.01774116477,0.1254118962,0.03864015797,0.9594631243,-0.7679710352
0.0088,0.2612192747,-0.1026810291,376.9904496,-0.7688898383,0.4672289275,-0.01774015898,0.1254168284,0.03864266432,0.9594625203,-0.767981195
0.0089,0.2612204341,-0.102682593,376.9904118,-0.768888268,0.467245677,-0.01773843881,0.1254226594,0.03864523572,0.9594619277,-0.7679967447
0.009,0.2612236566,-0.1026840416,376.9903783,-0.7688867272,0.4672623428,-0.01773601105,0.1254293512,0.03864785574,0.95946135,-0.7680175864
0.0091,0.261228923,-0.102685364,376.9903491,-0.7688852251,0.4672788141,-0.01773288968,0.1254368604,0.03865050636,0.9594607905,-0.7680435869
0.0092,0.2612362008,-0.102686549,376.9903244,-0.7688837705,0.467294982,-0.01772909615,0.1254451383,0.0386531687,0.9594602526,-0.7680745797
0.0093,0.2612454441,-0.1026875864,376.9903045,-0.768882372,0.4673107403,-0.01772465178,0.1254541313,0.03865582515,0.9594597394,-0.768110365
0.0094,0.2612565941,-0.1026884674,376.9902893,-0.7688810377,0.4673259868,-0.01771959324,0.1254637821,0.03865845506,0.9594592539,-0.7681507136
0.0095,0.2612695796,-0.1026891832,376.9902791,-0.7688797754,0.467340624,-0.01771395256,0.1254740292,0.03866104112,0.959458799,-0.768195367
0.0096,0.2612843176,-0.1026897279,376.9902739,-0.7688785925,0.4673545595,-0.01770776679,0.1254848074,0.03866356579,0.9594583771,-0.7682440401
0.0097,0.2613007142,-0.1026900963,376.9902737,-0.7688774957,0.467367707,-0.01770107989,0.1254960493,0.03866601129,0.9594579908,-0.768296424
0.0098,0.2613186649,-0.1026902842,376.9902785,-0.7688764913,0.4673799877,-0.01769393648,0.1255076849,0.03866836153,0.9594576423,-0.768352188
0.0099,0.2613380561,-0.1026902896,376.9902883,-0.7688755851,0.4673913294,-0.01768638294,0.1255196424,0.03867060153,0.9594573334,-0.7684109826
0.01,0.2613587654,-0.1026901116,376.990303,-0.768874782,0.4674016686,-0.01767847539,0.1255318498,0.03867271537,0.9594570659,-0.7684724428
0.0101,0.2613806632,-0.1026897507,376.9903225,-0.7688740864,0.4674109498,-0.01767026535,0.1255442335,0.03867469055,0.9594568412,-0.7685361904
0.0102,0.2614036133,-0.10268921,376.9903466,-0.7688735023,0.4674191259,-0.01766180439,0.12555672,0.03867651601,0.9594566606,-0.7686018365
0.0103,0.2614274742,-0.1026884938,376.9903752,-0.7688730326,0.4674261575,-0.01765314988,0.1255692365,0.03867818059,0.9594565249,-0.7686689851
0.0104,0.2614521,-0.1026876073,376.9904082,-0.7688726798,0.4674320149,-0.01764435224,0.1255817101,0.03867967685,0.9594564347,-0.7687372349
0.0105,0.2614773417,-0.102686558,376.9904452,-0.7688724455,0.4674366759,-0.01763547416,0.1255940707,0.03868099511,0.9594563906,-0.7688061835
0.0106,0.2615030481,-0.1026853535,376.990486,-0.7688723308,0.4674401275,-0.01762656715,0.1256062486,0.03868213079,0.9594563926,-0.7688754289
0.0107,0.2615290666,-0.1026840044,376.9905305,-0.7688723359,0.4674423634,-0.01761768384,0.1256181764,0.03868307974,0.9594564405,-0.7689445719
0.0108,0.261555245,-0.1026825214,376.9905782,-0.7688724606,0.4674433857,-0.01760887772,0.125629789,0.03868383871,0.959456534,-0.7690132188
0.0109,0.2615814314,-0.102680916,376.9906289,-0.7688727036,0.4674432034,-0.01760019868,0.1256410239,0.03868440653,0.9594566724,-0.7690809835
0.011,0.2616074759,-0.102679201,376.9906823,-0.7688730634,0.467441832,-0.01759169298,0.125651821,0.03868478366,0.9594568547,-0.7691474893
0.0111,0.261633231,-0.1026773895,376.990738,-0.7688735374,0.467439294,-0.01758341253,0.1256621244,0.03868496964,0.9594570799,-0.7692123714
0.0112,0.2616585528,-0.1026754947,376.9907957,-0.7688741228,0.4674356176,-0.01757540005,0.1256718807,0.03868496746,0.9594573464,-0.7692752781
0.0113,0.2616833013,-0.1026735311,376.9908551,-0.7688748159,0.4674308363,-0.01756769469,0.1256810397,0.03868478118,0.9594576528,-0.7693358722
0.0114,0.2617073414,-0.102671513,376.9909158,-0.7688756125,0.4674249881,-0.01756033771,0.1256895553,0.03868441437,0.9594579972,-0.7693938326
0.0115,0.2617305433,-0.1026694542,376.9909775,-0.7688765079,0.4674181161,-0.01755336052,0.1256973846,0.03868387367,0.9594583776,-0.7694488552
0.0116,0.2617527833,-0.102667369,376.9910397,-0.7688774969,0.4674102671,-0.01754680401,0.1257044894,0.03868316272,0.9594587917,-0.7695006551
0.0117,0.261773944,-0.1026652703,376.9911022,-0.7688785737,0.4674014927,-0.01754069576,0.1257108348,0.03868228942,0.9594592373,-0.7695489667
0.0118,0.2617939149,-0.1026631724,376.9911646,-0.7688797321,0.4673918463,-0.01753506256,0.1257163901,0.03868126117,0.9594597117,-0.7695935443
0.0119,0.2618125931,-0.1026610879,376.9912266,-0.7688809656,0.467381385,-0.01752993063,0.1257211285,0.0386800853,0.9594602123,-0.7696341634
0.012,0.261829883,-0.1026590292,376.9912878,-0.7688822671,0.4673701686,-0.01752532146,0.1257250277,0.0386787702,0.9594607363,-0.7696706215
0.0121,0.2618456972,-0.102657008,376.9913478,-0.7688836295,0.467358259,-0.01752125212,0.1257280689,0.03867732491,0.9594612807,-0.7697027376
0.0122,0.2618599562,-0.1026550352,376.9914065,-0.7688850449,0.4673457205,-0.01751774474,0.1257302387,0.03867575656,0.9594618425,-0.7697303546
0.0123,0.2618725893,-0.1026531207,376.9914633,-0.7688865057,0.4673326194,-0.01751481198,0.1257315272,0.03867407483,0.9594624187,-0.7697533382
0.0124,0.2618835343,-0.1026512746,376.9915182,-0.7688880037,0.4673190231,-0.01751246278,0.1257319286,0.03867228957,0.959463006,-0.7697715774
0.0125,0.2618927379,-0.1026495059,376.9915707,-0.7688895307,0.4673050003,-0.01751070821,0.1257314419,0.03867040936,0.9594636011,-0.7697849851
0.0126,0.2619001555,-0.1026478223,376.9916206,-0.7688910781,0.4672906214,-0.01750954958,0.1257300696,0.03866844509,0.959464201,-0.7697934977
0.0127,0.2619057519,-0.1026462312,376.9916677,-0.7688926377,0.4672759574,-0.01750899789,0.1257278196,0.03866640407,0.9594648021,-0.7697970767
0.0128,0.2619095006,-0.1026447386,376.9917117,-0.7688942007,0.4672610809,-0.01750905106,0.1257247034,0.03866429724,0.9594654014,-0.7697957073
0.0129,0.2619113846,-0.102643351,376.9917524,-0.7688957587,0.467246064,-0.01750970647,0.1257207363,0.03866213461,0.9594659954,-0.7697893987
0.013,0.261911396,-0.1026420736,376.9917896,-0.7688973031,0.4672309796,-0.01751096117,0.1257159384,0.0386599257,0.9594665809,-0.7697781844
