"Time","Subsystem #1|CTLs|Vars|I107d","Subsystem #1|CTLs|Vars|I107d_rms","Subsystem #1|CTLs|Vars|I107q","Subsystem #1|CTLs|Vars|I107q_rms","Subsystem #1|CTLs|Vars|Omega107I","Subsystem #1|CTLs|Vars|Omega107V","Subsystem #1|CTLs|Vars|PSTAT_TEST","Subsystem #1|CTLs|Vars|QSTAT_TEST","Subsystem #1|CTLs|Vars|Tmpu_M1","Subsystem #1|CTLs|Vars|V107d","Subsystem #1|CTLs|Vars|V107d_rms","Subsystem #1|CTLs|Vars|V107q","Subsystem #1|CTLs|Vars|V107q_rms","Subsystem #1|Machines|M1|PSTAT1M1","Subsystem #1|Machines|M1|QSTAT1M1","Subsystem #1|Machines|M1|SPDOUT1M1","Subsystem #1|Machines|M1|TELECT1M1"
0.0032,0.2290061028,0.2804740499,-0.008754553171,-0.0107220941,376.990328,376.990505,0.1221457907,0.04797477227,-0.768889802,0.381468599,0.4672017102,-0.014485595,-0.01774115818,0.1254101405,0.03863944219,0.9594624967,-0.7679666994
0.0033,0.2290053289,0.2804731021,-0.00875628731,-0.01072421798,376.9902138,376.9904622,0.1221482896,0.04797767961,-0.7688882067,0.3814822267,0.4672184007,-0.01448497029,-0.01774039308,0.1254147663,0.03864192273,0.9594618898,-0.7679750479
0.0034,0.2290061222,0.2804740737,-0.008757387008,-0.01072556483,376.9901046,376.9904231,0.1221516849,0.04798073817,-0.7688866285,0.3814959067,0.4672351551,-0.01448376059,-0.0177389115,0.1254203023,0.03864447408,0.959461293,-0.7679888115
0.0035,0.2290084785,0.2804769595,-0.008757842446,-0.01072612262,376.9900011,376.9903881,0.122155955,0.04798392841,-0.7688850769,0.3815095486,0.4672518631,-0.01448196993,-0.01773671839,0.1254267124,0.03864708002,0.9594607099,-0.768007904
0.0036,0.2290123834,0.280481742,-0.008757649091,-0.01072588581,376.989904,376.9903575,0.1221610722,0.04798722853,-0.7688835609,0.3815230616,0.467268413,-0.01447960832,-0.01773382603,0.1254339549,0.03864972271,0.959460144,-0.7680322039
0.0037,0.2290178122,0.280488391,-0.008756805828,-0.01072485303,376.9898137,376.9903313,0.1221670039,0.04799061602,-0.7688820895,0.3815363563,0.4672846956,-0.01447669186,-0.01773025411,0.1254419831,0.03865238333,0.9594595985,-0.7680615557
0.0038,0.2290247302,0.2804968638,-0.008755315779,-0.0107230281,376.9897309,376.9903097,0.1221737119,0.04799406769,-0.7688806714,0.3815493453,0.4673006038,-0.01447323918,-0.01772602546,0.1254507449,0.03865504351,0.9594590768,-0.7680957707
0.0039,0.2290330928,0.2805071058,-0.008753186513,-0.01072042029,376.989656,376.990293,0.1221811532,0.04799756028,-0.7688793148,0.3815619437,0.4673160337,-0.01446927154,-0.01772116611,0.1254601839,0.03865768517,0.9594585818,-0.7681346288
0.004,0.2290428459,0.2805190509,-0.008750429684,-0.01071704388,376.9895896,376.9902811,0.1221892811,0.04800106843,-0.7688780277,0.3815740705,0.4673308859,-0.01446482029,-0.01771571446,0.12547024,0.03866028824,0.9594581163,-0.7681778811
0.0041,0.2290539266,0.2805326219,-0.008747060854,-0.01071291792,376.989532,376.9902742,0.1221980443,0.04800456845,-0.7688768176,0.3815856491,0.4673450667,-0.01445991474,-0.01770970642,0.1254808496,0.0386628353,0.9594576832,-0.7682252514
0.0042,0.2290662637,0.2805477317,-0.008743100496,-0.01070806749,376.9894837,376.9902723,0.1222073873,0.04800803695,-0.7688756914,0.3815966072,0.4673584876,-0.01445458651,-0.01770318069,0.1254919455,0.03866530954,0.9594572848,-0.7682764383
0.0043,0.2290797782,0.2805642835,-0.008738572634,-0.01070252202,376.9894448,376.9902755,0.1222172522,0.04801145028,-0.7688746557,0.3816068781,0.4673710669,-0.01444887395,-0.01769618426,0.1255034588,0.03866769342,0.9594569235,-0.7683311179
0.0044,0.229094384,0.2805821719,-0.008733504821,-0.01069631524,376.9894156,376.9902836,0.1222275774,0.04801478716,-0.7688737161,0.3816164013,0.4673827304,-0.01444281202,-0.01768875995,0.1255153179,0.03866997252,0.9594566012,-0.7683889467
0.0045,0.2291099886,0.2806012835,-0.008727928615,-0.01068948581,376.9893964,376.9902967,0.1222383007,0.04801802387,-0.7688728782,0.3816251224,0.4673934114,-0.01443644778,-0.01768096538,0.1255274512,0.03867212977,0.9594563197,-0.7684495646
0.0046,0.2291264938,0.2806214982,-0.008721878174,-0.01068207556,376.9893871,376.9903146,0.1222493566,0.04802114085,-0.7688721464,0.3816329941,0.4674030523,-0.01442982136,-0.0176728497,0.1255397853,0.03867415288,0.9594560807,-0.7685125976
0.0047,0.229143797,0.2806426901,-0.008715391943,-0.01067413158,376.989388,376.9903372,0.1222606785,0.04802411875,-0.7688715249,0.3816399752,0.4674116024,-0.01442297578,-0.01766446562,0.1255522468,0.03867602978,0.9594558853,-0.7685776597
0.0048,0.2291617912,0.2806647285,-0.0087085104,-0.01066570345,376.9893989,376.9903643,0.1222721993,0.04802693986,-0.7688710168,0.3816460319,0.4674190202,-0.01441595671,-0.01765586904,0.1255647623,0.03867774928,0.9594557345,-0.768644357
0.0049,0.2291803665,0.2806874784,-0.008701276488,-0.01065684375,376.9894199,376.9903958,0.122283851,0.04802958812,-0.7688706249,0.3816511371,0.4674252728,-0.01440880864,-0.01764711449,0.1255772594,0.03867930228,0.9594556292,-0.76871229
0.005,0.2291994104,0.2807108024,-0.008693735447,-0.0106476079,376.9894507,376.9904315,0.1222955657,0.0480320495,-0.7688703511,0.3816552705,0.4674303352,-0.01440157474,-0.0176382548,0.1255896663,0.0386806815,0.9594555698,-0.7687810558
0.0051,0.229218809,0.2807345608,-0.008685934117,-0.01063805326,376.9894912,376.9904711,0.1223072766,0.04803430985,-0.7688701965,0.3816584191,0.4674341914,-0.0143943042,-0.01762935024,0.1256019136,0.03868187897,0.9594555564,-0.7688502521
0.0052,0.2292384475,0.2807586129,-0.008677920437,-0.01062823855,376.9895412,376.9905144,0.1223189168,0.04803635846,-0.7688701619,0.3816605762,0.4674368333,-0.01438703996,-0.0176204534,0.1256139331,0.03868289055,0.9594555891,-0.7689194786
0.0053,0.2292582111,0.2807828183,-0.008669744172,-0.01061822471,376.9896002,376.9905611,0.1223304208,0.04803818641,-0.7688702469,0.3816617411,0.46743826,-0.01437982316,-0.01761161466,0.1256256587,0.03868371354,0.9594556675,-0.7689883395
0.0054,0.2292779858,0.2808070373,-0.008661455303,-0.01060807296,376.989668,376.9906108,0.1223417246,0.04803978581,-0.7688704508,0.3816619191,0.467438478,-0.01437269749,-0.01760288754,0.1256370272,0.03868434528,0.9594557911,-0.7690564459
0.0055,0.2292976587,0.2808311315,-0.008653103817,-0.01059784452,376.9897441,376.9906633,0.1223527657,0.04804115209,-0.768870772,0.3816611215,0.4674375011,-0.01436569937,-0.01759431662,0.1256479774,0.03868478659,0.9594559589,-0.7691234174
0.0056,0.229317119,0.2808549654,-0.00864474002,-0.010587601,376.9898281,376.9907183,0.1223634846,0.04804227903,-0.7688712084,0.3816593645,0.4674353492,-0.01435887342,-0.01758595658,0.1256584523,0.0386850359,0.95945617,-0.7691888855
0.0057,0.2293362582,0.280878406,-0.008636413037,-0.01057740257,376.9899194,376.9907754,0.1223738236,0.04804316501,-0.7688717572,0.3816566699,0.4674320491,-0.01435225388,-0.01757784933,0.1256683974,0.0386850964,0.959456423,-0.7692524938
0.0058,0.2293549712,0.2809013247,-0.008628172427,-0.01056730993,376.9900175,376.9908343,0.1223837274,0.04804380881,-0.768872415,0.3816530634,0.467427632,-0.01434587454,-0.01757003627,0.1256777615,0.03868497131,0.9594567164,-0.7693138999
0.0059,0.2293731564,0.2809235969,-0.008620065935,-0.01055738154,376.9901218,376.9908946,0.1223931437,0.04804421085,-0.7688731778,0.3816485748,0.4674221347,-0.01433976894,-0.01756255847,0.1256864971,0.03868466429,0.9594570484,-0.7693727772
0.006,0.2293907161,0.2809451031,-0.008612139938,-0.01054767422,376.9902317,376.990956,0.122402023,0.04804437372,-0.7688740411,0.3816432381,0.4674155986,-0.01433396421,-0.01755544915,0.1256945601,0.03868418137,0.9594574171,-0.7694288158
0.0061,0.2294075572,0.2809657291,-0.008604439372,-0.01053824299,376.9903465,376.9910181,0.1224103201,0.04804429848,-0.7688749997,0.3816370906,0.4674080695,-0.01432849386,-0.01754874937,0.125701911,0.03868352624,0.9594578203,-0.7694817244
0.0062,0.229423591,0.2809853665,-0.008597006728,-0.0105291399,376.9904655,376.9910806,0.1224179921,0.04804398984,-0.768876048,0.3816301732,0.4673995974,-0.01432338168,-0.01754248825,0.1257085137,0.03868270636,0.9594582558,-0.7695312308
